Iteration	Posterior	Likelihood	Prior	sigma
0	8553.986	8974.332	-420.3462	0.05998938
100	8733.323	9151.889	-418.566	0.05254758
200	8654.088	9076.956	-422.8682	0.05622687
300	8727.293	9151.972	-424.679	0.0517396
400	8710.355	9128.205	-417.8499	0.05599609
500	8604.597	9019.466	-414.8689	0.05825626
600	8601.581	9026.19	-424.6089	0.05494349
700	8921.472	9345.941	-424.4693	0.04927262
800	8954.785	9375.275	-420.4901	0.05627057
900	9054.345	9475.28	-420.9352	0.04943667
1000	9237.47	9658.533	-421.063	0.04883512
