Iteration	Posterior	Likelihood	Prior	sigma
0	11371.97	11779.6	-407.622	0.03733922
100	11690.1	12095.25	-405.1477	0.03555091
200	11610.61	12021.29	-410.6813	0.03283889
300	11666.08	12071.97	-405.8974	0.03469877
400	11873.36	12274.48	-401.1205	0.03496438
500	11762.02	12165.65	-403.6324	0.03510176
600	11636.58	12038.61	-402.0354	0.03455565
700	11618.17	12027.1	-408.9242	0.03484399
800	11581.06	11992.26	-411.1966	0.03246222
900	11668.86	12070.89	-402.0297	0.03614489
1000	11602.82	12012.33	-409.5105	0.03460819
