Iteration	Posterior	Likelihood	Prior	sigma
0	-4651.335	-4237.933	-413.4017	1.439979
100	131.1629	541.8137	-410.6508	0.3274707
200	-16587.9	-16172.77	-415.1269	15.27717
300	225.3757	636.4801	-411.1044	0.5366534
400	-10040.96	-9629.486	-411.4762	4.271698
500	-10648.51	-10235.36	-413.154	4.807609
600	4056.787	4467.913	-411.1258	0.1941927
700	1498.065	1905.173	-407.108	0.1072527
800	-27097.43	-26684.02	-413.4094	130.0514
900	-30071.33	-29659.56	-411.7764	252.984
1000	-1762.661	-1348.788	-413.8735	0.8048729
