state	power	likelihood
260	0.193492	16034.7
270	0.193492	16062.1
280	0.193492	16064.1
290	0.193492	16061
300	0.193492	16075.3
310	0.193492	16004.1
320	0.193492	16069.1
330	0.193492	16057.4
340	0.193492	15998.5
350	0.193492	15972.4
360	0.193492	15990.2
370	0.193492	16027.6
380	0.193492	15981.7
390	0.193492	16048.2
400	0.193492	16062.4
410	0.193492	16059.3
420	0.193492	16048.9
430	0.193492	16101.8
440	0.193492	16040.2
450	0.193492	16060.6
460	0.193492	16080.8
470	0.193492	16021.5
480	0.193492	15998.8
490	0.193492	16041.4
500	0.193492	16017.6
510	0.193492	16030.7
520	0.193492	16031.6
530	0.193492	16062.6
540	0.193492	16073
550	0.193492	16099
560	0.193492	16092.7
