Iteration	Posterior	Likelihood	Prior	sigma
0	13309.89	13685.28	-375.3925	0.04097805
100	13291.95	13667.43	-375.4744	0.04239784
200	13325.33	13699.8	-374.4702	0.04390901
300	13321.54	13695.54	-373.9952	0.04369172
400	13340.43	13715.01	-374.5827	0.04297812
500	13315.29	13690.3	-375.0069	0.04241574
600	13325.11	13698.81	-373.7057	0.04158864
700	13331.7	13704.1	-372.3984	0.04403016
800	13319.89	13694.39	-374.4953	0.04320033
900	13307.72	13682.2	-374.486	0.04248097
1000	13323.7	13697.49	-373.791	0.04284368
