Iteration	Posterior	Likelihood	Prior	sigma
0	7507.013	7924.795	-417.782	0.06477881
100	7397.911	7812.746	-414.8351	0.07771333
200	6896.135	7315.202	-419.0672	0.09266402
300	6895.589	7310.162	-414.5735	0.08379121
400	7611.023	8023.374	-412.3505	0.06084043
500	7066.649	7484.483	-417.8342	0.09571138
600	7292.174	7706.312	-414.138	0.08304816
700	7036.187	7447.419	-411.2317	0.08967105
800	6725.133	7137.574	-412.4415	0.08764264
900	7066.319	7482.767	-416.4482	0.0776418
1000	6947.314	7364.688	-417.3743	0.06918194
