state	power	likelihood
260	0.00604662	7249.57
270	0.00604662	7598.21
280	0.00604662	7701.21
290	0.00604662	7462.08
300	0.00604662	7310.16
310	0.00604662	7193.45
320	0.00604662	6743.84
330	0.00604662	7075.29
340	0.00604662	6467.63
350	0.00604662	7045.75
360	0.00604662	6830.81
370	0.00604662	7445.76
380	0.00604662	7360.63
390	0.00604662	7762.2
400	0.00604662	8023.37
410	0.00604662	6936.26
420	0.00604662	7227.7
430	0.00604662	7548.87
440	0.00604662	7245.56
450	0.00604662	7517.5
460	0.00604662	7814.19
470	0.00604662	7131.7
480	0.00604662	7610.23
490	0.00604662	7486.1
500	0.00604662	7484.48
510	0.00604662	7291.71
520	0.00604662	8091.79
530	0.00604662	7671.33
540	0.00604662	7365.95
550	0.00604662	7726.88
560	0.00604662	7023.87
570	0.00604662	7521.41
580	0.00604662	6595.52
590	0.00604662	7302.61
600	0.00604662	7706.31
610	0.00604662	7543.86
620	0.00604662	7205.76
630	0.00604662	7172.43
640	0.00604662	7265.54
650	0.00604662	7316.25
660	0.00604662	7137.55
670	0.00604662	6981.07
680	0.00604662	6439.58
690	0.00604662	7288.66
700	0.00604662	7447.42
710	0.00604662	7719.25
720	0.00604662	7996.09
730	0.00604662	7965.58
740	0.00604662	7808.41
750	0.00604662	7427.93
760	0.00604662	7778.15
770	0.00604662	7447.22
780	0.00604662	7443.24
790	0.00604662	7289.67
800	0.00604662	7137.57
810	0.00604662	7219.18
820	0.00604662	7338.63
830	0.00604662	6847.31
840	0.00604662	6537.83
850	0.00604662	6725.76
860	0.00604662	7319.25
870	0.00604662	7281.62
880	0.00604662	7416.18
890	0.00604662	7483.9
900	0.00604662	7482.77
910	0.00604662	7677.99
920	0.00604662	7629.33
930	0.00604662	7773.11
940	0.00604662	7533.13
950	0.00604662	6975.53
960	0.00604662	7144.92
970	0.00604662	7996.84
980	0.00604662	7860.17
990	0.00604662	7741.73
1000	0.00604662	7364.69
