Iteration	Posterior	Likelihood	Prior	diversification	logSigma	sigma	speciation
0	13360.79	13732.65	-371.8661	1.14663	-1.353318	0.04432841	1.14663
10	13364.78	13736.44	-371.6633	1.14663	-1.338803	0.04583501	1.14663
20	13384.12	13755	-370.8819	1.14663	-1.334151	0.04632861	1.14663
30	13379.57	13750.37	-370.8029	1.14663	-1.333082	0.04644279	1.14663
40	13385.14	13755.88	-370.7327	1.14663	-1.332965	0.0464553	1.14663
50	13386.28	13756.55	-370.2749	1.14663	-1.335912	0.04614109	1.14663
60	13376.21	13747.12	-370.9094	1.14663	-1.329108	0.04686967	1.14663
70	13374.81	13745.69	-370.878	1.14663	-1.332441	0.04651137	1.14663
80	13386.96	13757.06	-370.1007	1.14663	-1.314923	0.04842577	1.14663
90	13391.51	13761.93	-370.4242	1.14663	-1.329623	0.0468141	1.14663
100	13391.01	13761.65	-370.6375	1.14663	-1.329772	0.04679807	1.14663
110	13381.5	13752.65	-371.1539	1.14663	-1.332615	0.04649275	1.14663
120	13372.78	13744.36	-371.5775	1.14663	-1.332699	0.04648373	1.14663
130	13373.76	13745.64	-371.8784	1.14663	-1.342427	0.04545409	1.14663
140	13374.31	13746.13	-371.8247	1.14663	-1.34478	0.04520848	1.14663
150	13368.11	13740.3	-372.1832	1.14663	-1.332785	0.04647455	1.14663
160	13375.85	13747.33	-371.4882	1.14663	-1.338557	0.04586099	1.14663
170	13381.22	13752.98	-371.7567	1.14663	-1.340213	0.04568642	1.14663
180	13366.65	13738.89	-372.2366	1.14663	-1.337802	0.04594069	1.14663
190	13358.74	13731	-372.2583	1.14663	-1.353019	0.04435891	1.14663
200	13364.26	13736.58	-372.3186	1.14663	-1.345516	0.04513192	1.14663
210	13365.17	13737.57	-372.3984	1.14663	-1.343445	0.0453477	1.14663
220	13372.37	13744.75	-372.3799	1.14663	-1.352611	0.04440059	1.14663
230	13366.83	13739.47	-372.6343	1.14663	-1.353332	0.04432699	1.14663
240	13362.66	13735.81	-373.1454	1.14663	-1.359609	0.04369093	1.14663
250	13372.51	13745.68	-373.1679	1.14663	-1.364182	0.04323323	1.14663
260	13360.12	13733.74	-373.623	1.14663	-1.376893	0.04198629	1.14663
270	13370.33	13743.78	-373.4524	1.14663	-1.363959	0.04325544	1.14663
280	13371.67	13744.57	-372.9009	1.14663	-1.363025	0.04334855	1.14663
290	13375.11	13748.16	-373.0477	1.14663	-1.357187	0.04393528	1.14663
300	13372.69	13746.12	-373.4223	1.14663	-1.36197	0.04345405	1.14663
310	13377.26	13750.59	-373.3308	1.14663	-1.355997	0.04405577	1.14663
320	13352.38	13725.89	-373.5103	1.14663	-1.354256	0.04423271	1.14663
330	13350.01	13723.46	-373.4533	1.14663	-1.365309	0.04312124	1.14663
340	13345.39	13719.39	-374.0028	1.14663	-1.384522	0.04125518	1.14663
350	13349.43	13723.54	-374.118	1.14663	-1.368228	0.04283235	1.14663
360	13356.73	13730.75	-374.0261	1.14663	-1.37387	0.04227948	1.14663
370	13347.41	13722.15	-374.7481	1.14663	-1.382725	0.04142622	1.14663
380	13346.81	13722.35	-375.5386	1.14663	-1.381522	0.04154106	1.14663
390	13350.63	13725.79	-375.1612	1.14663	-1.383144	0.04138623	1.14663
400	13333.71	13709.42	-375.7015	1.14663	-1.385417	0.04117018	1.14663
410	13325.22	13701.14	-375.917	1.14663	-1.388532	0.04087594	1.14663
420	13311.83	13688.06	-376.2305	1.14663	-1.395822	0.04019557	1.14663
430	13310	13686.22	-376.2184	1.14663	-1.393205	0.04043846	1.14663
440	13313.44	13689.72	-376.281	1.14663	-1.390807	0.04066239	1.14663
450	13317.96	13694.29	-376.3273	1.14663	-1.397983	0.03999606	1.14663
460	13316.7	13692.69	-375.9909	1.14663	-1.3905	0.04069114	1.14663
470	13324.01	13700.02	-376.0108	1.14663	-1.385323	0.04117913	1.14663
480	13318.32	13694.75	-376.4265	1.14663	-1.391658	0.0405828	1.14663
490	13340.23	13716.51	-376.2728	1.14663	-1.393242	0.04043503	1.14663
500	13336.74	13712.63	-375.8926	1.14663	-1.3861	0.04110546	1.14663
510	13345.66	13721.47	-375.8128	1.14663	-1.384864	0.04122263	1.14663
520	13335.84	13711.72	-375.8812	1.14663	-1.388685	0.04086158	1.14663
530	13339.07	13714.84	-375.7757	1.14663	-1.385859	0.04112837	1.14663
540	13354.97	13730.63	-375.6605	1.14663	-1.39619	0.04016153	1.14663
550	13345.35	13721.49	-376.1433	1.14663	-1.381158	0.04157596	1.14663
560	13331.59	13707.63	-376.0392	1.14663	-1.390388	0.04070163	1.14663
570	13326.66	13703.19	-376.5335	1.14663	-1.395492	0.04022612	1.14663
580	13325.33	13701.74	-376.4134	1.14663	-1.401331	0.03968889	1.14663
590	13312.47	13689.34	-376.8661	1.14663	-1.401151	0.03970535	1.14663
600	13319.66	13696.25	-376.5881	1.14663	-1.399143	0.03988933	1.14663
