Iteration	Posterior	Likelihood	Prior	diversification	logSigma	sigma	speciation
770	1597.282	2009.576	-412.2943	1.14663	-0.38816	0.4091099	1.14663
780	1443.947	1853.236	-409.289	1.14663	-0.5049426	0.3126493	1.14663
790	2679.247	3087.543	-408.2961	1.14663	-0.4778401	0.3327821	1.14663
800	1691.083	2101.729	-410.6456	1.14663	-0.3902263	0.4071681	1.14663
810	-3263.38	-2850.218	-413.1619	1.14663	0.03831477	1.092232	1.14663
820	-5935.478	-5522.7	-412.7779	1.14663	0.2690006	1.857807	1.14663
830	-412.9328	-2.728277	-410.2045	1.14663	-0.9742705	0.1061035	1.14663
840	2509.924	2918.066	-408.1414	1.14663	-0.4686893	0.3398683	1.14663
850	-14277.86	-13860.26	-417.5997	1.14663	0.9861581	9.686303	1.14663
860	-5845.123	-5429.542	-415.5813	1.14663	0.2528703	1.790071	1.14663
870	2221.05	2632.299	-411.2498	1.14663	-0.4652393	0.3425789	1.14663
880	4241.933	4654.963	-413.0303	1.14663	-0.7861063	0.1636416	1.14663
890	-2626.866	-2213.921	-412.9448	1.14663	-0.6694762	0.2140542	1.14663
900	3690.17	4102.623	-412.4523	1.14663	-0.6344336	0.2320419	1.14663
910	5609.363	6024.283	-414.9197	1.14663	-1.187175	0.06498683	1.14663
920	3112.127	3523.963	-411.8367	1.14663	-1.052634	0.08858612	1.14663
930	-9306.754	-8894.794	-411.9604	1.14663	0.5557476	3.595403	1.14663
940	-2108.005	-1693.829	-414.1764	1.14663	-0.06852682	0.8540301	1.14663
950	5139.607	5555.413	-415.8059	1.14663	-0.8429586	0.1435626	1.14663
960	-3417.262	-3000.516	-416.7463	1.14663	0.03251594	1.077745	1.14663
970	-1190.098	-778.725	-411.3733	1.14663	-0.1392267	0.7257271	1.14663
980	3676.107	4092.526	-416.4184	1.14663	-0.6363665	0.2310114	1.14663
990	-2098.996	-1688.307	-410.6898	1.14663	-0.0480784	0.8952031	1.14663
1000	-9741.587	-9331.528	-410.0589	1.14663	0.63899	4.355018	1.14663
