Iteration	Posterior	Likelihood	Prior	diversification	logSigma	sigma	speciation
0	12680.55	13065.55	-384.9983	1.14663	-1.420383	0.03798539	1.14663
10	12670.29	13054.68	-384.3916	1.14663	-1.413079	0.0386297	1.14663
20	12646.07	13032.46	-386.3897	1.14663	-1.411883	0.03873623	1.14663
30	12640.9	13027.77	-386.8721	1.14663	-1.428364	0.03729373	1.14663
40	12696.56	13083.75	-387.1896	1.14663	-1.424227	0.03765069	1.14663
50	12703.6	13090.74	-387.1352	1.14663	-1.443022	0.036056	1.14663
60	12712.64	13099.56	-386.9143	1.14663	-1.426216	0.03747866	1.14663
70	12688.18	13074.83	-386.6529	1.14663	-1.449615	0.03551281	1.14663
80	12697.78	13084.25	-386.478	1.14663	-1.433448	0.03685975	1.14663
90	12721.24	13108	-386.7581	1.14663	-1.450077	0.03547505	1.14663
100	12715.39	13102.5	-387.112	1.14663	-1.448617	0.0355945	1.14663
110	12673.65	13061.22	-387.5773	1.14663	-1.458999	0.0347537	1.14663
120	12716.29	13103.99	-387.6977	1.14663	-1.447158	0.03571425	1.14663
130	12717.9	13105.58	-387.6739	1.14663	-1.45483	0.03508895	1.14663
140	12686.77	13074.69	-387.919	1.14663	-1.448961	0.03556636	1.14663
150	12667.66	13055.95	-388.2931	1.14663	-1.451205	0.03538301	1.14663
160	12702.52	13092.89	-390.3741	1.14663	-1.453538	0.03519344	1.14663
170	12698.61	13088.77	-390.1669	1.14663	-1.462933	0.03444033	1.14663
180	12712.83	13101.95	-389.1227	1.14663	-1.457095	0.03490643	1.14663
190	12717.94	13107.14	-389.2	1.14663	-1.447554	0.03568171	1.14663
200	12682.11	13072.51	-390.4019	1.14663	-1.455497	0.03503506	1.14663
210	12645.52	13036.92	-391.398	1.14663	-1.467063	0.03411433	1.14663
220	12647.89	13037.08	-389.1982	1.14663	-1.476501	0.03338097	1.14663
230	12703.53	13092.22	-388.6818	1.14663	-1.469482	0.03392483	1.14663
240	12686.13	13075.16	-389.0246	1.14663	-1.467684	0.03406558	1.14663
250	12677.58	13066.95	-389.3667	1.14663	-1.456282	0.03497183	1.14663
260	12720.05	13108.59	-388.5342	1.14663	-1.457929	0.03483942	1.14663
270	12717.01	13106.55	-389.5405	1.14663	-1.459989	0.03467452	1.14663
280	12733.41	13122.53	-389.1236	1.14663	-1.461431	0.03455961	1.14663
290	12714.04	13103.4	-389.36	1.14663	-1.446627	0.03575797	1.14663
300	12772.34	13159.22	-386.8885	1.14663	-1.439097	0.03638339	1.14663
310	12794.53	13180.63	-386.094	1.14663	-1.422951	0.03776151	1.14663
320	12797.28	13181.52	-384.2361	1.14663	-1.405408	0.03931801	1.14663
330	12840.7	13224.77	-384.0743	1.14663	-1.417166	0.03826789	1.14663
340	12816.84	13202.23	-385.387	1.14663	-1.430297	0.03712816	1.14663
350	12779.77	13165.74	-385.9618	1.14663	-1.444393	0.03594239	1.14663
360	12812.99	13198.9	-385.9097	1.14663	-1.425906	0.03750546	1.14663
370	12804.07	13190.12	-386.0473	1.14663	-1.437568	0.03651172	1.14663
380	12832.6	13217.81	-385.2073	1.14663	-1.441417	0.03618953	1.14663
390	12825.21	13209.68	-384.4679	1.14663	-1.425186	0.03756763	1.14663
400	12805.93	13190.53	-384.6013	1.14663	-1.437277	0.03653615	1.14663
410	12740.24	13125.56	-385.3221	1.14663	-1.44049	0.0362669	1.14663
420	12744.49	13130.59	-386.0998	1.14663	-1.449114	0.0355538	1.14663
430	12760.19	13147.44	-387.2413	1.14663	-1.438927	0.0363976	1.14663
440	12748.63	13136.74	-388.1116	1.14663	-1.461285	0.03457121	1.14663
450	12776.88	13164.9	-388.0156	1.14663	-1.439718	0.03633136	1.14663
460	12721.1	13111.21	-390.1076	1.14663	-1.473146	0.03363985	1.14663
470	12747.46	13137.51	-390.059	1.14663	-1.4646	0.03430834	1.14663
480	12770.3	13158.04	-387.7328	1.14663	-1.442346	0.03611222	1.14663
490	12777.75	13166.53	-388.7825	1.14663	-1.456431	0.0349598	1.14663
500	12694.02	13085.24	-391.2225	1.14663	-1.455984	0.03499582	1.14663
510	12732.21	13121.95	-389.7453	1.14663	-1.466165	0.03418492	1.14663
520	12774.67	13162.43	-387.7566	1.14663	-1.454621	0.03510578	1.14663
530	12772.54	13159.32	-386.7724	1.14663	-1.454455	0.03511921	1.14663
540	12755.05	13142.35	-387.3041	1.14663	-1.433419	0.03686219	1.14663
550	12742.04	13128.92	-386.8804	1.14663	-1.429001	0.03723904	1.14663
560	12764.99	13152	-387.0173	1.14663	-1.442881	0.03606771	1.14663
570	12735.97	13123.5	-387.531	1.14663	-1.436679	0.03658654	1.14663
580	12709.76	13096.93	-387.168	1.14663	-1.448091	0.03563767	1.14663
590	12776.53	13163.33	-386.8003	1.14663	-1.441749	0.03616186	1.14663
600	12766.43	13154.15	-387.724	1.14663	-1.449339	0.03553539	1.14663
610	12748.37	13137.98	-389.6059	1.14663	-1.46098	0.03459555	1.14663
620	12741.59	13131.43	-389.8456	1.14663	-1.471697	0.0337523	1.14663
630	12765.28	13153.86	-388.5859	1.14663	-1.451374	0.03536926	1.14663
640	12749.58	13138.6	-389.0143	1.14663	-1.463746	0.03437589	1.14663
650	12735.71	13124.38	-388.6715	1.14663	-1.460483	0.03463516	1.14663
660	12742.62	13130.1	-387.48	1.14663	-1.444599	0.03592539	1.14663
670	12775.18	13162.36	-387.1847	1.14663	-1.454241	0.03513652	1.14663
680	12789.17	13176.97	-387.7941	1.14663	-1.451692	0.03534335	1.14663
690	12800.51	13188.1	-387.5884	1.14663	-1.450669	0.03542671	1.14663
700	12795.63	13182.83	-387.1986	1.14663	-1.456128	0.03498422	1.14663
710	12809.69	13196.44	-386.7491	1.14663	-1.451206	0.03538296	1.14663
720	12807.49	13194.13	-386.6379	1.14663	-1.438463	0.0364365	1.14663
730	12791.54	13178.52	-386.9788	1.14663	-1.441354	0.0361948	1.14663
740	12798.41	13183.97	-385.5631	1.14663	-1.420064	0.03801334	1.14663
750	12816.28	13201.83	-385.5575	1.14663	-1.4454	0.03585916	1.14663
760	12798.71	13185.42	-386.7116	1.14663	-1.437748	0.03649653	1.14663
