state	power	likelihood
260	0.000515363	6158.1
270	0.000515363	3238.51
280	0.000515363	5130.71
290	0.000515363	5114.55
300	0.000515363	4289.9
310	0.000515363	4144
320	0.000515363	4674.84
330	0.000515363	4987.89
340	0.000515363	5652.41
350	0.000515363	6761.3
360	0.000515363	5371.22
370	0.000515363	6356.53
380	0.000515363	7098.44
390	0.000515363	4373.9
400	0.000515363	6186.09
410	0.000515363	4878.03
420	0.000515363	247.248
430	0.000515363	3157.88
440	0.000515363	5325.33
450	0.000515363	5307.84
460	0.000515363	4315.67
470	0.000515363	6188.94
480	0.000515363	4407.99
490	0.000515363	1818.06
500	0.000515363	6730.83
510	0.000515363	6316.09
520	0.000515363	5038
530	0.000515363	6212.43
540	0.000515363	5727.11
550	0.000515363	3566.34
560	0.000515363	2721.5
570	0.000515363	2483.65
580	0.000515363	6237.88
590	0.000515363	2478.83
600	0.000515363	5365.43
610	0.000515363	5916.43
620	0.000515363	5142.43
630	0.000515363	1551.88
640	0.000515363	6157.74
650	0.000515363	5239.75
660	0.000515363	6092.37
670	0.000515363	5282.8
680	0.000515363	3105.54
690	0.000515363	4856.77
700	0.000515363	7301.36
710	0.000515363	5608.83
720	0.000515363	3086.41
730	0.000515363	1566.03
740	0.000515363	4551.49
750	0.000515363	-321.891
760	0.000515363	6209.12
770	0.000515363	4132.9
780	0.000515363	6372.52
790	0.000515363	6425.48
800	0.000515363	5917.22
810	0.000515363	5956.38
820	0.000515363	2610.64
830	0.000515363	5830.81
840	0.000515363	6199.81
850	0.000515363	4246.45
860	0.000515363	5969.55
870	0.000515363	5912.78
880	0.000515363	5501.41
890	0.000515363	6400.53
900	0.000515363	6223.97
910	0.000515363	5664.74
920	0.000515363	5643.15
930	0.000515363	3947.61
940	0.000515363	4922.9
950	0.000515363	6167
960	0.000515363	5751.41
970	0.000515363	-566.483
980	0.000515363	6536.68
990	0.000515363	-2888.7
1000	0.000515363	5406.53
