Iteration	Posterior	Likelihood	Prior	diversification	logSigma	sigma	speciation
0	7701.074	8121.618	-420.5441	1.14663	-1.247066	0.05661539	1.14663
10	7744.433	8163.531	-419.0977	1.14663	-1.259284	0.05504481	1.14663
20	7515.8	7935.565	-419.7654	1.14663	-1.110958	0.07745363	1.14663
30	7277.376	7694.823	-417.4466	1.14663	-1.084412	0.08233568	1.14663
40	7547.158	7963.9	-416.7426	1.14663	-1.132883	0.07364059	1.14663
50	7469.765	7881.28	-411.5144	1.14663	-1.105191	0.07848906	1.14663
60	7379.255	7794.318	-415.0639	1.14663	-1.142759	0.07198487	1.14663
70	7038.489	7451.658	-413.1689	1.14663	-1.041976	0.09078715	1.14663
80	7039.785	7450.38	-410.5947	1.14663	-1.065755	0.08594978	1.14663
90	7479.695	7892.451	-412.7563	1.14663	-1.113416	0.07701647	1.14663
100	7712.489	8126.622	-414.1329	1.14663	-1.147455	0.07121068	1.14663
110	7341.725	7753.425	-411.7	1.14663	-1.08432	0.08235305	1.14663
120	7101.86	7514.595	-412.735	1.14663	-1.177396	0.06646661	1.14663
130	6847.19	7261.019	-413.8299	1.14663	-1.115907	0.07657599	1.14663
140	7442.406	7858.701	-416.2955	1.14663	-1.116891	0.07640269	1.14663
150	7065.181	7480.765	-415.5841	1.14663	-1.196794	0.0635633	1.14663
160	7541.596	7956.947	-415.3517	1.14663	-1.164728	0.06843409	1.14663
170	7502.809	7920.729	-417.9197	1.14663	-1.087237	0.08180184	1.14663
180	7535.352	7955.45	-420.0973	1.14663	-1.183655	0.06551569	1.14663
190	7496.885	7916.795	-419.9096	1.14663	-1.202706	0.06270387	1.14663
200	7081.15	7496.306	-415.1562	1.14663	-1.037866	0.09165029	1.14663
210	6928.62	7344.504	-415.8847	1.14663	-1.090931	0.08110906	1.14663
220	7136.693	7553.516	-416.8226	1.14663	-1.17078	0.06748692	1.14663
230	7284.264	7702.735	-418.4711	1.14663	-1.129766	0.07417099	1.14663
240	7646.714	8061.459	-414.7456	1.14663	-1.12	0.07585777	1.14663
250	7676.174	8093.844	-417.6701	1.14663	-1.176472	0.0666083	1.14663
260	7595.169	8011.25	-416.0812	1.14663	-1.11924	0.07599068	1.14663
270	7609.994	8029.352	-419.3584	1.14663	-1.137102	0.0729286	1.14663
280	7853.935	8272.41	-418.4749	1.14663	-1.179462	0.06615128	1.14663
290	7466.632	7885.718	-419.0863	1.14663	-1.176945	0.06653572	1.14663
300	7285.441	7706.183	-420.7425	1.14663	-1.101416	0.07917434	1.14663
310	7679.513	8098.658	-419.1448	1.14663	-1.181279	0.06587513	1.14663
320	7561.492	7982.37	-420.8772	1.14663	-1.201259	0.06291308	1.14663
330	7670.345	8091.137	-420.7922	1.14663	-1.167499	0.06799878	1.14663
340	7704.254	8122.31	-418.0555	1.14663	-1.172526	0.0672162	1.14663
350	7764.782	8184.831	-420.0484	1.14663	-1.11441	0.07684051	1.14663
360	7948.382	8368.435	-420.0524	1.14663	-1.171361	0.06739672	1.14663
370	7733.218	8154.053	-420.8348	1.14663	-1.109842	0.07765293	1.14663
380	7574.274	7996.237	-421.9627	1.14663	-1.146418	0.07138083	1.14663
390	7630.53	8052.34	-421.8097	1.14663	-1.205525	0.06229816	1.14663
400	7262.602	7685.876	-423.2738	1.14663	-1.271743	0.05348803	1.14663
410	7634.153	8050.734	-416.5809	1.14663	-1.155272	0.06994033	1.14663
420	7225.378	7641.96	-416.5823	1.14663	-1.033532	0.09256951	1.14663
430	7784.462	8199.175	-414.7133	1.14663	-1.107525	0.07806827	1.14663
440	7415.899	7826.88	-410.9813	1.14663	-1.077623	0.08363291	1.14663
450	7238.542	7651.068	-412.5263	1.14663	-1.06993	0.0851275	1.14663
460	7613.223	8033.379	-420.1556	1.14663	-1.122183	0.07547748	1.14663
470	7563.728	7984.685	-420.9572	1.14663	-1.219462	0.06033061	1.14663
480	7446.038	7863.383	-417.3455	1.14663	-1.184557	0.06537972	1.14663
490	7473.61	7895.829	-422.2183	1.14663	-1.117995	0.07620872	1.14663
500	7492.803	7916.021	-423.2178	1.14663	-1.122498	0.07542265	1.14663
510	7433.119	7853.865	-420.7465	1.14663	-1.141313	0.07222488	1.14663
