Iteration	Posterior	Likelihood	Prior	sigma
0	-4044.573	-3629.533	-415.0405	0.08782136
100	-3913.788	-3501.344	-412.4437	1.253833
200	-35624.6	-35209.65	-414.9508	0.03687529
300	-15367.7	-14952.52	-415.1789	11.80504
400	-20382.47	-19965.35	-417.1169	33.37673
500	-20611.72	-20201.28	-410.4463	37.64928
600	-4313.821	-3903.536	-410.2851	1.442043
700	-14451.07	-14029.87	-421.1996	9.336471
800	-12700.56	-12283.44	-417.1206	7.490492
900	120.5573	530.5391	-409.9818	0.5801851
1000	-10105.61	-9699.501	-406.1105	4.659968
