Iteration	Posterior	Likelihood	Prior	sigma
0	7727.744	8138.755	-411.0107	0.07043436
100	7277.576	7693.058	-415.4818	0.06339112
200	7383.008	7801.5	-418.4927	0.07372116
300	7509.772	7925.294	-415.5212	0.07810966
400	7083.344	7494.536	-411.1912	0.08753289
500	7838.52	8255.011	-416.4908	0.05952655
600	7503.383	7915.82	-412.4375	0.06356528
700	7174.57	7585.455	-410.8843	0.07379108
800	7348.286	7763.196	-414.9098	0.09119027
900	6918.906	7333.919	-415.013	0.06691658
1000	7274.795	7693.699	-418.9038	0.07703572
