Iteration	Posterior	Likelihood	Prior	diversification	logSigma	sigma	speciation
0	13085.74	13465.6	-379.8583	1.14663	-1.405282	0.03932947	1.14663
10	13094.08	13474.33	-380.2477	1.14663	-1.4201	0.03801022	1.14663
20	13072.32	13452.69	-380.369	1.14663	-1.413232	0.03861604	1.14663
30	13094.59	13474.58	-379.9823	1.14663	-1.404207	0.03942693	1.14663
40	13117.01	13496.5	-379.487	1.14663	-1.408711	0.03902016	1.14663
50	13103.01	13483.3	-380.2876	1.14663	-1.412885	0.03864695	1.14663
60	13093.07	13473.74	-380.6681	1.14663	-1.430441	0.03711579	1.14663
70	13066.66	13447.06	-380.4021	1.14663	-1.408759	0.03901585	1.14663
80	13081	13461.51	-380.5085	1.14663	-1.409082	0.03898684	1.14663
90	13075.96	13456.28	-380.3175	1.14663	-1.410447	0.0388645	1.14663
100	13071.63	13451.59	-379.9595	1.14663	-1.406147	0.0392512	1.14663
110	13067.75	13447.44	-379.6873	1.14663	-1.393652	0.0403969	1.14663
120	13039.31	13419.98	-380.6774	1.14663	-1.427764	0.03734528	1.14663
130	13028.43	13410.52	-382.0919	1.14663	-1.438283	0.0364516	1.14663
140	13052.65	13434.58	-381.9298	1.14663	-1.433152	0.03688489	1.14663
150	13088.33	13469.04	-380.7121	1.14663	-1.419756	0.03804028	1.14663
160	13068.55	13448.8	-380.2564	1.14663	-1.430431	0.03711666	1.14663
170	13075.7	13454.96	-379.2593	1.14663	-1.405391	0.0393196	1.14663
180	13084.39	13464.01	-379.623	1.14663	-1.403899	0.03945493	1.14663
190	13071.73	13451.77	-380.0381	1.14663	-1.41349	0.03859316	1.14663
200	13053.87	13434.11	-380.2418	1.14663	-1.399653	0.03984253	1.14663
210	13044.22	13423.99	-379.7744	1.14663	-1.402766	0.03955801	1.14663
220	13063.15	13443.16	-380.0146	1.14663	-1.417013	0.03828136	1.14663
230	13048.2	13428.15	-379.9411	1.14663	-1.406871	0.03918586	1.14663
240	13037.63	13416.8	-379.173	1.14663	-1.411939	0.03873124	1.14663
250	13069.91	13448.04	-378.1351	1.14663	-1.405615	0.03929932	1.14663
260	13089.83	13468.56	-378.7276	1.14663	-1.405978	0.03926652	1.14663
270	13095.87	13474.08	-378.2192	1.14663	-1.392866	0.0404701	1.14663
280	13081.44	13460.36	-378.9284	1.14663	-1.411338	0.03878488	1.14663
290	13096.64	13475.17	-378.529	1.14663	-1.402134	0.03961557	1.14663
300	13082.5	13461.34	-378.8413	1.14663	-1.408394	0.03904861	1.14663
310	13092.02	13470.6	-378.5822	1.14663	-1.403924	0.03945263	1.14663
320	13095.09	13474.31	-379.2105	1.14663	-1.404831	0.03937033	1.14663
330	13099.55	13478.61	-379.0641	1.14663	-1.405934	0.03927046	1.14663
340	13079.88	13461.09	-381.219	1.14663	-1.413847	0.03856142	1.14663
350	13076.29	13457.49	-381.2026	1.14663	-1.433722	0.03683649	1.14663
360	13096.36	13475.35	-378.9867	1.14663	-1.4078	0.03910209	1.14663
370	13101.85	13479.92	-378.0659	1.14663	-1.400676	0.03974881	1.14663
380	13124.81	13502.27	-377.4608	1.14663	-1.384893	0.0412199	1.14663
390	13100.48	13479.36	-378.8805	1.14663	-1.424164	0.03765619	1.14663
400	13118.21	13497.28	-379.0709	1.14663	-1.397081	0.04007919	1.14663
410	13135.94	13513.9	-377.9532	1.14663	-1.400632	0.03975283	1.14663
420	13101.54	13479.16	-377.6192	1.14663	-1.385922	0.04112237	1.14663
430	13119.66	13497.36	-377.6981	1.14663	-1.387218	0.04099983	1.14663
440	13163.98	13540.99	-377.0154	1.14663	-1.386528	0.04106504	1.14663
450	13145.19	13522.23	-377.0453	1.14663	-1.38534	0.04117751	1.14663
460	13143.83	13520.52	-376.6882	1.14663	-1.389153	0.04081752	1.14663
470	13119.36	13495.98	-376.6292	1.14663	-1.388016	0.0409246	1.14663
480	13138.94	13515.48	-376.5403	1.14663	-1.38951	0.04078399	1.14663
490	13137.18	13513.69	-376.5076	1.14663	-1.382897	0.04140975	1.14663
500	13126.06	13503.58	-377.5199	1.14663	-1.394562	0.04031233	1.14663
510	13125.82	13504.19	-378.3684	1.14663	-1.39356	0.04040545	1.14663
520	13119.55	13497.51	-377.9569	1.14663	-1.390716	0.04067092	1.14663
530	13113.74	13492.12	-378.3783	1.14663	-1.406812	0.03919112	1.14663
540	13116.52	13494.81	-378.2823	1.14663	-1.403808	0.03946315	1.14663
550	13123.39	13500.83	-377.4482	1.14663	-1.402403	0.03959104	1.14663
560	13095.51	13474.06	-378.5455	1.14663	-1.394319	0.04033488	1.14663
570	13084.45	13463.95	-379.4995	1.14663	-1.416374	0.03833769	1.14663
580	13105.57	13484.47	-378.8922	1.14663	-1.413483	0.03859377	1.14663
590	13092.26	13471.1	-378.8412	1.14663	-1.410566	0.03885385	1.14663
600	13108.31	13487.62	-379.3094	1.14663	-1.40884	0.03900857	1.14663
610	13099.16	13479.1	-379.9326	1.14663	-1.424254	0.03764835	1.14663
620	13089.5	13469.11	-379.6124	1.14663	-1.423713	0.03769524	1.14663
630	13081.72	13461.99	-380.269	1.14663	-1.420488	0.03797629	1.14663
640	13086.01	13465.73	-379.7185	1.14663	-1.418984	0.03810797	1.14663
