Iteration	Posterior	Likelihood	Prior	sigma
0	-13235.44	-12820.65	-414.791	7.843361
100	-1235.97	-826.2785	-409.6915	0.7661271
200	3502.986	3916.999	-414.0136	0.2496452
300	2910.225	3324.503	-414.2773	0.2266696
400	5246.656	5660.945	-414.289	0.09341877
500	-2533.64	-2118.291	-415.3496	0.9284853
600	2913.809	3328.385	-414.5757	0.2786394
700	-3270.378	-2858.316	-412.0616	1.142927
800	1001.301	1414.438	-413.1368	0.440123
900	4221.202	4638.392	-417.19	0.05176721
1000	5465.62	5877.234	-411.6146	0.1586084
