Iteration	Posterior	Likelihood	Prior	sigma
0	11316.95	11724.21	-407.259	0.03695454
100	11174.23	11587.49	-413.266	0.03484263
200	11351.96	11759.61	-407.6462	0.03637557
300	11359.06	11760.73	-401.6702	0.03737684
400	11241.44	11642.26	-400.8195	0.04049042
500	11346.8	11752.46	-405.663	0.03526256
600	11210.94	11619.97	-409.0325	0.03513016
700	11379.46	11786.11	-406.6513	0.03600039
800	11264.8	11674.31	-409.5102	0.03424369
900	11300.06	11709.23	-409.1657	0.03541172
1000	11195.59	11599.13	-403.5401	0.03792588
