Iteration	Posterior	Likelihood	Prior	diversification	logSigma	sigma	speciation
0	4148.784	4560.407	-411.623	1.14663	-0.6429566	0.2275325	1.14663
10	5568.791	5980.397	-411.606	1.14663	-1.09495	0.08036195	1.14663
20	-1579.162	-1168.156	-411.006	1.14663	-0.1091551	0.7777587	1.14663
30	-3485.288	-3074.596	-410.6922	1.14663	0.06170944	1.152682	1.14663
40	-149.497	257.6144	-407.1114	1.14663	-0.2004353	0.6303252	1.14663
50	-8961.224	-8556.493	-404.7312	1.14663	0.5765282	3.771622	1.14663
60	2732.278	3140.056	-407.7777	1.14663	-0.6339497	0.2323006	1.14663
70	-14176.05	-13769.76	-406.2936	1.14663	1.020074	10.47307	1.14663
80	-12796.41	-12389.12	-407.2846	1.14663	0.8952016	7.856002	1.14663
90	-4412.448	-4006.853	-405.5954	1.14663	0.172382	1.487243	1.14663
100	-10098.84	-9689.785	-409.0555	1.14663	0.6521633	4.489142	1.14663
110	5071.373	5481.486	-410.1133	1.14663	-0.911476	0.1226095	1.14663
120	3602.874	4013.802	-410.9284	1.14663	-0.6553594	0.2211264	1.14663
130	-27900.5	-27483.9	-416.5969	1.14663	-1.559792	0.02755549	1.14663
140	-12233.68	-11818.27	-415.4073	1.14663	0.7950952	6.238716	1.14663
150	-7917.002	-7500.216	-416.7852	1.14663	0.4426146	2.77086	1.14663
160	-18552.26	-18138.01	-414.2527	1.14663	1.375025	23.7151	1.14663
170	2784.829	3196.144	-411.3154	1.14663	-1.187328	0.06496392	1.14663
180	-9127.332	-8715.744	-411.5878	1.14663	0.5587239	3.620128	1.14663
190	-2906.443	-2492.932	-413.511	1.14663	0.0002038789	1.00047	1.14663
200	-2645.536	-2233.254	-412.2823	1.14663	-0.01188214	0.9730112	1.14663
210	-6325.347	-5908.033	-417.3141	1.14663	-1.347048	0.04497299	1.14663
220	-4675.556	-4261.123	-414.4327	1.14663	0.1739295	1.492552	1.14663
230	5143.365	5561.687	-418.3219	1.14663	-1.145634	0.07150979	1.14663
240	2916.446	3332.099	-415.653	1.14663	-0.5439754	0.2857753	1.14663
250	-4018.712	-3604.67	-414.0416	1.14663	0.1045832	1.272281	1.14663
260	-20821.28	-20406.21	-415.0732	1.14663	-1.158033	0.06949708	1.14663
270	-11432.43	-11013.12	-419.3007	1.14663	-1.026315	0.09412061	1.14663
280	3996.089	4411.376	-415.2872	1.14663	-0.647033	0.2254068	1.14663
290	-5381.521	-4965.014	-416.5069	1.14663	-1.191983	0.06427127	1.14663
300	-3754.959	-3339.676	-415.2837	1.14663	0.07702663	1.194061	1.14663
310	512.4552	927.2825	-414.8273	1.14663	-1.284058	0.0519926	1.14663
320	-15216.65	-14803.3	-413.3499	1.14663	1.081357	12.06028	1.14663
330	-4059.365	-3643.32	-416.0458	1.14663	0.09077221	1.232458	1.14663
340	-9206.501	-8788.308	-418.1927	1.14663	0.5289781	3.380478	1.14663
350	-1359.229	-943.9804	-415.2486	1.14663	-0.1292457	0.7425989	1.14663
360	-6913.817	-6499.762	-414.0546	1.14663	0.361715	2.299932	1.14663
370	-9341.396	-8932.178	-409.218	1.14663	0.5908359	3.897946	1.14663
380	2236.992	2641.991	-404.9988	1.14663	-0.4237878	0.3768879	1.14663
390	-4849.88	-4444.478	-405.4018	1.14663	0.1999873	1.584847	1.14663
400	-9895.836	-9489.075	-406.7612	1.14663	0.6350801	4.315987	1.14663
410	-9262.299	-8856.179	-406.1199	1.14663	0.5895563	3.886478	1.14663
420	4689.02	5097.422	-408.4015	1.14663	-1.101086	0.07923444	1.14663
430	1925.378	2335.607	-410.2288	1.14663	-0.5126619	0.3071412	1.14663
440	4370.57	4782.695	-412.125	1.14663	-0.6942014	0.2022081	1.14663
450	-1725.788	-1312.051	-413.7364	1.14663	-0.09753188	0.7988553	1.14663
460	-998.6063	-584.9377	-413.6686	1.14663	-0.1636051	0.6861118	1.14663
470	-4422.161	-4009.615	-412.5458	1.14663	0.1436021	1.391881	1.14663
480	3274.336	3683.282	-408.9454	1.14663	-1.020111	0.09547495	1.14663
490	6316.556	6728.495	-411.9392	1.14663	-0.9828969	0.1040167	1.14663
500	-2574.503	-2163.58	-410.9231	1.14663	-0.8099035	0.1549161	1.14663
510	-795.5147	-383.4355	-412.0792	1.14663	-0.1725169	0.6721762	1.14663
520	-6205.672	-5796.4	-409.2723	1.14663	0.3211627	2.094897	1.14663
530	-26024.46	-25611.01	-413.4481	1.14663	2.031929	107.629	1.14663
