Iteration	Posterior	Likelihood	Prior	sigma
0	-1000.852	-588.2835	-412.5687	0.691617
100	-10188.48	-9767.739	-420.7374	4.178661
200	-13629.94	-13219.23	-410.7065	8.98617
300	-23598.3	-23182.84	-415.4549	65.83518
400	-25426.3	-25009.94	-416.3603	90.52741
500	-92.98162	315.6459	-408.6275	0.2084093
600	2954.061	3368.157	-414.0958	0.07880706
700	-42422.91	-42007.67	-415.2412	0.06498681
800	-16810.75	-16392.81	-417.9401	15.59089
900	-4965.434	-4550.554	-414.8803	1.491966
1000	-12515.11	-12101.07	-414.0481	6.717075
