Iteration	Posterior	Likelihood	Prior	sigma
0	6692.156	7109.004	-416.8477	0.08330058
100	6270.833	6681.963	-411.1299	0.07976389
200	5017.282	5427.507	-410.2253	0.1028889
300	5742.536	6155.167	-412.6307	0.1042366
400	5781.628	6194.707	-413.079	0.05858827
500	7235.946	7657.475	-421.5297	0.07696348
600	6066.977	6477.276	-410.2993	0.09913642
700	6050.499	6464.953	-414.4538	0.09630482
800	6436.041	6852.303	-416.2615	0.09775668
900	4776.894	5187.747	-410.8533	0.1290676
1000	4963.936	5376.247	-412.3112	0.1667111
