Iteration	Posterior	Likelihood	Prior	sigma
0	6538.378	6948.385	-410.0071	0.09111181
100	6861.891	7279.218	-417.327	0.06549381
200	7352.879	7773.388	-420.5092	0.0602369
300	6673.854	7088.319	-414.4654	0.09434264
400	7060.341	7478.462	-418.1214	0.08046505
500	7589.54	8005.178	-415.638	0.07188373
600	7151.911	7565.487	-413.5765	0.08447971
700	6923.468	7334.201	-410.7328	0.08471917
800	7425.805	7836.8	-410.9953	0.08878792
900	7477.853	7894.431	-416.5777	0.06770602
1000	6838.414	7245.255	-406.8408	0.08704661
