Iteration	Posterior	Likelihood	Prior	sigma
0	13372.03	13744.91	-372.874	0.04355826
100	13367.14	13740.83	-373.691	0.04292217
200	13375.15	13747.17	-372.0248	0.04589286
300	13368.33	13740.81	-372.4849	0.04568009
400	13346.14	13719.45	-373.315	0.04394802
500	13374.06	13746.07	-372.0175	0.04551231
600	13357.34	13729.75	-372.4143	0.04507232
700	13379.95	13751.68	-371.7276	0.04568257
800	13377.43	13748.46	-371.0295	0.0470276
900	13355.68	13728.08	-372.4009	0.04419609
1000	13361.13	13733.53	-372.4017	0.045034
