Iteration	Posterior	Likelihood	Prior	sigma
0	13360.79	13732.65	-371.8661	0.04432841
100	13391.01	13761.65	-370.6375	0.04679807
200	13364.26	13736.58	-372.3186	0.04513192
300	13372.69	13746.12	-373.4223	0.04345405
400	13333.71	13709.42	-375.7015	0.04117018
500	13336.74	13712.63	-375.8926	0.04110546
600	13319.66	13696.25	-376.5881	0.03988933
700	13327.63	13703.11	-375.4873	0.04092661
800	13334.49	13708.94	-374.4549	0.04238298
900	13345.74	13719.87	-374.1287	0.04289704
1000	13330.13	13704.44	-374.302	0.04358627
