Iteration	Posterior	Likelihood	Prior	sigma
0	10684.46	11101.36	-416.8996	0.03556279
100	10634.07	11050.73	-416.6644	0.03768914
200	10606.62	11026.15	-419.5304	0.03868465
300	10662.64	11085.04	-422.3925	0.03774732
400	10594.3	11006.85	-412.556	0.04209354
500	10561.56	10973.18	-411.6242	0.04119295
600	10545.07	10963.54	-418.4705	0.03879889
700	10542.63	10959.89	-417.2637	0.03932152
800	10639.08	11049.92	-410.8387	0.04149824
900	10696.67	11110.11	-413.4377	0.0389605
1000	10528.12	10941.85	-413.7289	0.04247281
