Iteration	Posterior	Likelihood	Prior	diversification	logSigma	sigma	speciation
0	-14335.13	-13927.58	-407.5442	1.14663	1.016094	10.37754	1.14663
10	-5352.963	-4945.621	-407.342	1.14663	0.2354561	1.719714	1.14663
20	-12051.41	-11644.94	-406.4767	1.14663	0.8368964	6.869045	1.14663
30	-194803.6	-194397.9	-405.6627	1.14663	-1.81044	0.01547249	1.14663
40	-2330.705	-1926.802	-403.9029	1.14663	-0.004733991	0.9891588	1.14663
50	-9610.075	-9204.205	-405.8698	1.14663	0.6282588	4.248727	1.14663
60	5664.515	6072.602	-408.0869	1.14663	-0.856799	0.1390596	1.14663
70	-23374.03	-22962.73	-411.3018	1.14663	1.803115	63.54994	1.14663
80	-15217.43	-14807.34	-410.0894	1.14663	1.099953	12.58789	1.14663
90	2592.468	3004.818	-412.3498	1.14663	-0.5109205	0.3083752	1.14663
100	-6780.315	-6366.171	-414.1441	1.14663	0.3389157	2.182306	1.14663
110	3361.567	3774.937	-413.3697	1.14663	-0.5634803	0.2732245	1.14663
120	-222.6447	190.7602	-413.4049	1.14663	-0.227246	0.5925896	1.14663
130	3650.607	4066.006	-415.3994	1.14663	-0.6144261	0.2429819	1.14663
140	-9107.769	-8692.269	-415.5005	1.14663	0.5319215	3.403467	1.14663
150	-3144.897	-2732.968	-411.929	1.14663	0.03684996	1.088554	1.14663
160	-16698.9	-16285.63	-413.2712	1.14663	1.205512	16.05135	1.14663
170	-38422.64	-38008.53	-414.1108	1.14663	3.11137	1292.321	1.14663
180	-22855	-22443	-412.0032	1.14663	1.758855	57.39252	1.14663
190	-607.2764	-198.5675	-408.7089	1.14663	-0.1639273	0.685603	1.14663
200	-3149.083	-2738.557	-410.5264	1.14663	0.01853003	1.04359	1.14663
210	-10110.82	-9700.399	-410.4196	1.14663	0.6406827	4.372026	1.14663
220	-34393.18	-33975.97	-417.2086	1.14663	2.745042	555.9584	1.14663
230	-13053.67	-12643.38	-410.2919	1.14663	0.9037362	8.011913	1.14663
240	-2404.571	-1987.206	-417.3653	1.14663	-0.06186057	0.8672402	1.14663
250	1324.634	1740.619	-415.9846	1.14663	-0.3964443	0.40138	1.14663
260	2078.548	2492.096	-413.5479	1.14663	-0.4486941	0.3558819	1.14663
270	-15435.3	-15021.17	-414.1338	1.14663	1.105141	12.73917	1.14663
280	-5888.745	-5475.984	-412.7606	1.14663	0.2702599	1.863202	1.14663
290	-29201.49	-28788.48	-413.0075	1.14663	2.304538	201.6222	1.14663
300	-16503.88	-16092.19	-411.6939	1.14663	1.214734	16.39584	1.14663
310	-6639.506	-6233.33	-406.1768	1.14663	0.3663304	2.324504	1.14663
320	1168.117	1574.842	-406.7244	1.14663	-0.3301922	0.4675282	1.14663
330	3280.351	3688.145	-407.7943	1.14663	-0.6541664	0.2217346	1.14663
340	-7108.54	-6700.195	-408.3451	1.14663	0.4014681	2.520392	1.14663
350	-3753.021	-3345.81	-407.2108	1.14663	0.1170564	1.309352	1.14663
360	6130.348	6537.153	-406.8052	1.14663	-1.018041	0.09593092	1.14663
370	4836.223	5245.996	-409.7732	1.14663	-0.8964792	0.1269173	1.14663
380	-10671.82	-10266.74	-405.0811	1.14663	0.723505	5.290601	1.14663
390	4432.138	4834.486	-402.3476	1.14663	-0.6394158	0.2293951	1.14663
400	-11750.75	-11346.99	-403.7613	1.14663	0.8366335	6.864888	1.14663
410	-8676.869	-8270.819	-406.0496	1.14663	0.542972	3.491178	1.14663
420	4620.586	5030.392	-409.8055	1.14663	-0.7195334	0.1907509	1.14663
430	2913.621	3327.477	-413.8554	1.14663	-0.5496476	0.2820671	1.14663
440	-4115.497	-3701.23	-414.2673	1.14663	0.1093196	1.286233	1.14663
450	871.5296	1286.568	-415.038	1.14663	-0.3469507	0.4498309	1.14663
460	238.7706	656.9227	-418.1521	1.14663	-0.3335553	0.4639217	1.14663
470	-27583.36	-27164.31	-419.0557	1.14663	2.142117	138.713	1.14663
480	4571.96	4989.028	-417.0683	1.14663	-0.7245912	0.1885423	1.14663
490	-1232.37	-819.3018	-413.0684	1.14663	-0.1502115	0.7076011	1.14663
500	-882.0301	-472.7577	-409.2725	1.14663	-0.1429411	0.7195466	1.14663
510	-797.8986	-386.1325	-411.7661	1.14663	-0.1757777	0.6671481	1.14663
520	2985.205	3401.116	-415.9111	1.14663	-1.168329	0.0678689	1.14663
530	-4546.793	-4132.837	-413.9561	1.14663	0.1662783	1.466487	1.14663
540	-12331.46	-11917.44	-414.0202	1.14663	0.8449905	6.998268	1.14663
550	-40843.55	-40429.27	-414.286	1.14663	-1.583047	0.0261188	1.14663
560	-9031.213	-8616.66	-414.553	1.14663	-1.272338	0.05341481	1.14663
570	-200523.4	-200108.4	-414.9521	1.14663	-1.988255	0.01027414	1.14663
580	3174.664	3589.423	-414.7597	1.14663	-1.03791	0.09164111	1.14663
590	-25404.98	-24988.91	-416.0737	1.14663	1.966025	92.47509	1.14663
600	-2472.497	-2059.555	-412.942	1.14663	-0.02376126	0.9467575	1.14663
610	2126.607	2543.453	-416.8462	1.14663	-0.4711819	0.3379233	1.14663
620	-7827.146	-7412.688	-414.4579	1.14663	0.4166571	2.6101	1.14663
630	-17150.58	-16735.23	-415.3462	1.14663	1.261215	18.24797	1.14663
640	5450.595	5866.675	-416.0802	1.14663	-0.8950858	0.1273252	1.14663
