Iteration	Posterior	Likelihood	Prior	sigma
0	1811.584	2220.555	-408.9714	0.3795793
100	3318.208	3725.478	-407.2703	0.2947365
200	6540.992	6949.557	-408.5648	0.07885942
300	5342.957	5759.845	-416.8885	0.1053026
400	4230.657	4640.566	-409.9091	0.225043
500	-15682.02	-15265.47	-416.5485	13.87409
600	5214.887	5629.582	-414.6942	0.1078794
700	1851.367	2269.902	-418.5351	0.3421031
800	6598.766	7018.489	-419.7233	0.05849345
900	3683.667	4098.057	-414.3894	0.2451143
1000	4807.971	5225.226	-417.2544	0.1739395
