Iteration	Posterior	Likelihood	Prior	sigma
0	5250.003	5668.461	-418.4587	0.1208816
100	645.3225	1058.419	-413.0963	0.4863504
200	4612.043	5023.018	-410.9751	0.1955278
300	2188.974	2600.767	-411.7932	0.3559634
400	6810.983	7227.135	-416.1519	0.06917078
500	5121.661	5531.233	-409.5721	0.1551538
600	4706.899	5118.037	-411.1371	0.1069616
700	4613.752	5026.201	-412.4486	0.06744122
800	5162.017	5570.909	-408.8918	0.1372388
900	4344.565	4760.74	-416.1748	0.2058708
1000	3783.819	4192.895	-409.0767	0.240959
