state	power	likelihood
260	1e-05	2492.1
270	1e-05	-15021.2
280	1e-05	-5475.98
290	1e-05	-28788.5
300	1e-05	-16092.2
310	1e-05	-6233.33
320	1e-05	1574.84
330	1e-05	3688.15
340	1e-05	-6700.2
350	1e-05	-3345.81
360	1e-05	6537.15
370	1e-05	5246
380	1e-05	-10266.7
390	1e-05	4834.49
400	1e-05	-11347
410	1e-05	-8270.82
420	1e-05	5030.39
430	1e-05	3327.48
440	1e-05	-3701.23
450	1e-05	1286.57
460	1e-05	656.923
470	1e-05	-27164.3
480	1e-05	4989.03
490	1e-05	-819.302
500	1e-05	-472.758
510	1e-05	-386.133
520	1e-05	3401.12
530	1e-05	-4132.84
540	1e-05	-11917.4
550	1e-05	-40429.3
560	1e-05	-8616.66
570	1e-05	-200108
580	1e-05	3589.42
590	1e-05	-24988.9
600	1e-05	-2059.56
610	1e-05	2543.45
620	1e-05	-7412.69
630	1e-05	-16735.2
640	1e-05	5866.67
650	1e-05	6023.53
660	1e-05	-7879.01
670	1e-05	-5730.2
680	1e-05	-16794.4
690	1e-05	2279.99
700	1e-05	4374.64
710	1e-05	-770.899
720	1e-05	3915.16
730	1e-05	5219.26
740	1e-05	-7472.22
750	1e-05	4493.74
760	1e-05	-19529
770	1e-05	-11391.7
780	1e-05	-7553.81
790	1e-05	-17459.9
800	1e-05	-13904.5
810	1e-05	2334.5
820	1e-05	-5652.69
830	1e-05	-9736.31
840	1e-05	-12442.1
850	1e-05	140.359
860	1e-05	-10760.5
870	1e-05	-58001.6
880	1e-05	-5914.24
890	1e-05	2967.59
900	1e-05	5518.6
910	1e-05	-8580.25
920	1e-05	-7044.66
930	1e-05	1430.37
940	1e-05	3174.93
950	1e-05	-13264
960	1e-05	-4964.65
970	1e-05	4924.18
980	1e-05	-19767.8
990	1e-05	-10387.9
1000	1e-05	-62060.6
