Iteration	Posterior	Likelihood	Prior	diversification	logSigma	sigma	speciation
0	5250.003	5668.461	-418.4587	1.14663	-0.9176396	0.1208816	1.14663
10	4212.059	4625.614	-413.5547	1.14663	-0.8155796	0.1529046	1.14663
20	4448.604	4865.111	-416.5075	1.14663	-0.7047847	0.1973401	1.14663
30	1395.641	1814.08	-418.4391	1.14663	-0.3963261	0.4014893	1.14663
40	5319.516	5736.419	-416.9039	1.14663	-0.783911	0.1644709	1.14663
50	6026.968	6444.069	-417.101	1.14663	-0.8691492	0.1351608	1.14663
60	3415.019	3829.311	-414.2925	1.14663	-1.113711	0.07696419	1.14663
70	4507.146	4918.814	-411.6675	1.14663	-0.7457865	0.1795616	1.14663
80	5099.301	5509.23	-409.929	1.14663	-1.009935	0.09773827	1.14663
90	1693.134	2106.687	-413.5528	1.14663	-0.4122173	0.3870639	1.14663
100	645.3225	1058.419	-413.0963	1.14663	-0.3130507	0.4863504	1.14663
110	3092.333	3505.047	-412.7143	1.14663	-0.6608958	0.2183253	1.14663
120	4138.358	4548.898	-410.5396	1.14663	-0.6657436	0.2159019	1.14663
130	5532.662	5944.401	-411.7386	1.14663	-1.058172	0.08746366	1.14663
140	4708.072	5121.197	-413.1249	1.14663	-1.261713	0.05473778	1.14663
150	5071.916	5487.587	-415.6712	1.14663	-1.015699	0.09644971	1.14663
160	6109.525	6524.098	-414.5728	1.14663	-0.9110093	0.1227413	1.14663
170	4583.96	4998.909	-414.9489	1.14663	-0.7379473	0.1828322	1.14663
180	5445.636	5856.512	-410.8761	1.14663	-0.8685579	0.135345	1.14663
190	-1144.492	-732.8393	-411.6523	1.14663	-0.1442406	0.7173967	1.14663
200	4612.043	5023.018	-410.9751	1.14663	-0.7087915	0.1955278	1.14663
210	3312.256	3728.375	-416.119	1.14663	-0.653094	0.2222829	1.14663
220	2153.644	2567.773	-414.1296	1.14663	-0.4824833	0.3292431	1.14663
230	3502.12	3919.172	-417.0514	1.14663	-0.6265847	0.2362736	1.14663
240	2569.189	2982.25	-413.0615	1.14663	-0.8709165	0.1346119	1.14663
250	4364.464	4777.256	-412.7915	1.14663	-0.9816612	0.1043131	1.14663
260	2683.068	3098.273	-415.2053	1.14663	-0.5120897	0.3075462	1.14663
270	2621.714	3032.599	-410.8854	1.14663	-0.4782659	0.332456	1.14663
280	-1531.855	-1124.815	-407.0408	1.14663	-0.07166584	0.8478795	1.14663
290	2981.705	3392.321	-410.6167	1.14663	-0.5813159	0.2622311	1.14663
300	2188.974	2600.767	-411.7932	1.14663	-0.4485946	0.3559634	1.14663
310	4622.324	5034.739	-412.4151	1.14663	-1.226319	0.05938558	1.14663
320	5677.19	6089.435	-412.245	1.14663	-0.9214429	0.1198277	1.14663
330	5484.419	5896.948	-412.5296	1.14663	-0.8148461	0.153163	1.14663
340	2289.169	2700.683	-411.5142	1.14663	-0.4570012	0.3491393	1.14663
350	3611.312	4021.253	-409.9409	1.14663	-0.5979298	0.2523889	1.14663
360	774.7098	1185.509	-410.7994	1.14663	-0.3263537	0.4716788	1.14663
370	5076.572	5489.132	-412.5602	1.14663	-0.7993177	0.1587385	1.14663
380	5013.068	5426.94	-413.872	1.14663	-0.7600259	0.1737697	1.14663
390	5799.046	6214.298	-415.2518	1.14663	-1.169586	0.06767272	1.14663
400	6810.983	7227.135	-416.1519	1.14663	-1.160077	0.06917078	1.14663
410	-681.2213	-263.6943	-417.527	1.14663	-0.2271021	0.5927859	1.14663
420	5248.328	5662.346	-414.0173	1.14663	-0.9832103	0.1039417	1.14663
430	-3498.317	-3086.869	-411.4477	1.14663	0.06511547	1.161757	1.14663
440	-287.1748	121.2249	-408.3997	1.14663	-1.078309	0.08350085	1.14663
450	-6346.913	-5937.199	-409.7147	1.14663	0.310127	2.042335	1.14663
460	-920.9387	-510.4895	-410.4492	1.14663	-0.1570415	0.6965599	1.14663
470	3853.237	4264.279	-411.0415	1.14663	-0.6412504	0.2284282	1.14663
480	5157.178	5569.934	-412.7552	1.14663	-1.006581	0.09849615	1.14663
490	5021.039	5432.066	-411.0268	1.14663	-0.7584747	0.1743915	1.14663
500	5121.661	5531.233	-409.5721	1.14663	-0.8092376	0.1551538	1.14663
510	5446.932	5859.314	-412.382	1.14663	-0.8957261	0.1271376	1.14663
520	-703.0991	-290.4792	-412.6199	1.14663	-0.1911696	0.6439177	1.14663
530	3957.957	4372.74	-414.783	1.14663	-0.7082281	0.1957816	1.14663
540	5544.424	5962.258	-417.8334	1.14663	-0.8097544	0.1549693	1.14663
550	3816.911	4230.502	-413.5912	1.14663	-0.7381205	0.1827593	1.14663
560	-110.1222	303.53	-413.6523	1.14663	-0.2468707	0.5664079	1.14663
570	5703.459	6117.937	-414.4785	1.14663	-0.9041117	0.1247063	1.14663
580	-5822.051	-5407.279	-414.7718	1.14663	0.2578999	1.810923	1.14663
590	3777.352	4190.267	-412.9147	1.14663	-0.6670934	0.2152319	1.14663
