Iteration	Posterior	Likelihood	Prior	sigma
0	5872.96	6286.152	-413.1917	0.1205367
100	5549.153	5964.621	-415.4682	0.09315402
200	5221.459	5633.876	-412.4171	0.1694209
300	5547.625	5962.981	-415.3563	0.1478405
400	5383.583	5788.983	-405.4008	0.1065374
500	4509.882	4921.666	-411.7838	0.1413953
600	6560.411	6973.296	-412.8848	0.1040166
700	6087.155	6506.861	-419.7055	0.1184018
800	5430.975	5837.442	-406.4671	0.1177033
900	5194.04	5609.279	-415.2389	0.1535776
1000	5853.697	6269.122	-415.4248	0.1212462
