Iteration	Posterior	Likelihood	Prior	diversification	logSigma	sigma	speciation
0	13202.49	13580.45	-377.9521	1.14663	-1.407426	0.03913578	1.14663
10	13177.41	13556.1	-378.6868	1.14663	-1.427756	0.03734601	1.14663
20	13197.54	13575.62	-378.0814	1.14663	-1.412023	0.03872374	1.14663
30	13199.6	13578.28	-378.6794	1.14663	-1.407873	0.03909555	1.14663
40	13186.99	13565.51	-378.5218	1.14663	-1.407721	0.03910923	1.14663
50	13154.47	13533.8	-379.3262	1.14663	-1.414423	0.03851032	1.14663
60	13162.91	13542.61	-379.6992	1.14663	-1.410774	0.0388352	1.14663
70	13194.14	13573.68	-379.541	1.14663	-1.414589	0.03849563	1.14663
80	13190.49	13570.47	-379.9768	1.14663	-1.409064	0.03898846	1.14663
90	13182.49	13561.91	-379.4189	1.14663	-1.404302	0.03941828	1.14663
100	13184.7	13563.67	-378.9668	1.14663	-1.409995	0.03890496	1.14663
110	13204.63	13583.06	-378.4244	1.14663	-1.404996	0.03935535	1.14663
120	13202.11	13580.34	-378.235	1.14663	-1.40088	0.03973012	1.14663
130	13196.72	13575.06	-378.3486	1.14663	-1.403528	0.03948858	1.14663
140	13189.42	13568.28	-378.8611	1.14663	-1.404558	0.03939507	1.14663
150	13187.21	13565.34	-378.1358	1.14663	-1.388642	0.04086561	1.14663
160	13201.94	13580.11	-378.1671	1.14663	-1.394971	0.0402744	1.14663
170	13201.6	13580.23	-378.6343	1.14663	-1.40226	0.0396041	1.14663
180	13206.93	13585.59	-378.6569	1.14663	-1.409538	0.03894591	1.14663
190	13213.67	13590.98	-377.3088	1.14663	-1.388571	0.04087231	1.14663
200	13205.53	13583.61	-378.0756	1.14663	-1.402472	0.03958476	1.14663
210	13204.31	13582.55	-378.2397	1.14663	-1.397607	0.04003066	1.14663
220	13205.91	13584.09	-378.1779	1.14663	-1.404265	0.03942164	1.14663
230	13211.66	13589.07	-377.415	1.14663	-1.385878	0.04112649	1.14663
240	13215.09	13592.51	-377.4253	1.14663	-1.384439	0.04126299	1.14663
250	13218.94	13596.08	-377.1409	1.14663	-1.376171	0.04205608	1.14663
260	13208.03	13586.09	-378.0652	1.14663	-1.387978	0.04092814	1.14663
270	13188.45	13567.11	-378.6591	1.14663	-1.390222	0.04071725	1.14663
