Iteration	Posterior	Likelihood	Prior	sigma
0	8596.097	9014.227	-418.13	0.05373464
100	8315.428	8741.422	-425.9941	0.05834772
200	8166.382	8589.881	-423.4994	0.05822833
300	8325.202	8741.516	-416.3146	0.06245884
400	8294.204	8718.287	-424.0823	0.05644282
500	8131.663	8550.867	-419.204	0.06483735
600	8296.265	8713.591	-417.3267	0.06233339
700	8252.447	8675.566	-423.1191	0.06076961
800	8427.827	8853.528	-425.7005	0.05144248
900	8396.036	8812.094	-416.0573	0.06170456
1000	8434.141	8842.844	-408.7032	0.0665489
