Iteration	Posterior	Likelihood	Prior	sigma
0	4148.784	4560.407	-411.623	0.2275325
100	-10098.84	-9689.785	-409.0555	4.489142
200	-2645.536	-2233.254	-412.2823	0.9730112
300	-3754.959	-3339.676	-415.2837	1.194061
400	-9895.836	-9489.075	-406.7612	4.315987
500	-2574.503	-2163.58	-410.9231	0.1549161
600	-15487.59	-15075.15	-412.4449	13.11833
700	-1914.404	-1500.768	-413.6358	0.8057097
800	-1942.922	-1528.808	-414.1146	0.7967857
900	1623.05	2033.771	-410.7214	0.3989305
1000	-6484.582	-6073.068	-411.5142	2.101963
