Iteration	Posterior	Likelihood	Prior	sigma
0	13466.6	13750.23	-283.6318	0.04956507
100	13471.09	13752.26	-281.1647	0.0517812
200	13465.33	13748.22	-282.8864	0.04910186
300	13463.58	13746.53	-282.9515	0.04906074
400	13452.21	13741.07	-288.8626	0.04683149
500	13452.36	13740.72	-288.3633	0.047615
600	13462.56	13747.29	-284.7285	0.04872603
700	13439.38	13730.18	-290.8044	0.04630654
800	13453.42	13738.29	-284.872	0.04877962
900	13461.97	13746.91	-284.9406	0.04882115
1000	13450.04	13737.43	-287.3836	0.0470674
1100	13471.95	13752.52	-280.5715	0.05044171
1200	13483.14	13760.78	-277.6343	0.05061826
1300	13447.93	13727.86	-279.9332	0.04958653
1400	13464.71	13745.48	-280.7665	0.05003568
1500	13460.93	13744.22	-283.2979	0.04946226
1600	13492.12	13771.37	-279.2533	0.05119862
1700	13495.31	13779.7	-284.3883	0.04884028
1800	13498.27	13779.71	-281.4333	0.04903634
1900	13490.26	13772.19	-281.9341	0.04949466
2000	13484.71	13770.07	-285.3521	0.0491929
2100	13468.88	13760.97	-292.0888	0.04610118
2200	13480.34	13768.08	-287.7416	0.04745208
2300	13481.02	13763.97	-282.9506	0.04886964
2400	13489.95	13769.56	-279.615	0.04953784
2500	13482.08	13764.15	-282.071	0.04935795
2600	13468.88	13751.83	-282.9451	0.04928346
2700	13494.85	13775.31	-280.461	0.04981604
2800	13484.24	13767.14	-282.907	0.04971904
2900	13486.21	13763.44	-277.2247	0.0505565
3000	13493.56	13770.12	-276.5544	0.05138995
3100	13491.02	13771.24	-280.2202	0.05042622
3200	13492.93	13774.39	-281.4623	0.04986326
3300	13491.28	13770.63	-279.3551	0.05198569
3400	13488.55	13768.49	-279.9455	0.05065915
3500	13487.81	13770.74	-282.923	0.04965517
3600	13491.96	13772.79	-280.8329	0.04972215
3700	13513.02	13786.17	-273.1539	0.05392748
3800	13509.56	13785.27	-275.71	0.05291947
3900	13498.91	13776.64	-277.7386	0.05029316
4000	13491.91	13770.47	-278.5583	0.05174351
4100	13510.48	13789.76	-279.2725	0.05107915
4200	13495.4	13774.15	-278.7543	0.05042315
4300	13502.16	13780.78	-278.6131	0.05108107
4400	13498.79	13778.85	-280.0643	0.05045507
4500	13490.09	13771.96	-281.8682	0.04988987
4600	13480.47	13765.23	-284.7593	0.04867185
4700	13491.1	13774.59	-283.4924	0.04928401
4800	13508.32	13788.38	-280.0531	0.05037755
4900	13477.34	13763.06	-285.7203	0.04890762
5000	13478.28	13760.74	-282.4655	0.04923945
5100	13472.03	13748.48	-276.4448	0.05258593
5200	13496.41	13770.93	-274.5145	0.05305757
5300	13489.87	13767.94	-278.0663	0.05119992
5400	13505.58	13782.35	-276.7668	0.05185849
5500	13497.68	13775.36	-277.6802	0.0523239
5600	13481.48	13758.86	-277.3797	0.0523197
5700	13486.06	13764.29	-278.2229	0.05034518
5800	13501.42	13779.78	-278.3674	0.05223314
5900	13500.42	13777.41	-276.9915	0.05198109
6000	13497.26	13777.12	-279.8581	0.0501891
6100	13472.89	13750.47	-277.5862	0.05175607
6200	13487.7	13768.26	-280.5555	0.04970958
6300	13482.25	13760.82	-278.5744	0.05160349
6400	13492.63	13770.43	-277.7966	0.05051493
6500	13492.52	13766.73	-274.2134	0.05253343
6600	13504.07	13778.68	-274.6012	0.05243761
6700	13495.34	13778.83	-283.4916	0.04951158
6800	13499.92	13783.06	-283.1466	0.0491908
6900	13480.7	13762	-281.303	0.05041885
7000	13497.1	13774.41	-277.3175	0.05167087
7100	13483.19	13767.64	-284.4435	0.04921074
7200	13487.65	13770.48	-282.829	0.04993243
7300	13477.45	13756.96	-279.5026	0.05071943
7400	13482.09	13763.26	-281.1776	0.05002744
7500	13494.58	13773.6	-279.0213	0.05053168
7600	13484.61	13768.56	-283.9455	0.04884639
7700	13500.64	13785.46	-284.8157	0.04785749
7800	13481.45	13769.33	-287.8814	0.04733698
7900	13498.76	13782.62	-283.8633	0.04930775
8000	13492.49	13776.15	-283.6564	0.0487385
8100	13472.61	13756.58	-283.9681	0.04822188
8200	13482.21	13768.16	-285.9486	0.04832463
8300	13473.5	13759.44	-285.9371	0.04862733
8400	13464.75	13751.99	-287.241	0.04754417
8500	13470.43	13755.75	-285.3232	0.0491783
8600	13494.81	13776.07	-281.2519	0.05067678
8700	13483	13764.9	-281.8946	0.05031847
8800	13494.31	13773.69	-279.3732	0.05141128
8900	13495.04	13772.17	-277.1273	0.05199267
9000	13485.58	13765.37	-279.7883	0.05103306
9100	13471.86	13757.44	-285.5752	0.0496275
9200	13492.17	13772.41	-280.2427	0.04910107
9300	13497.39	13780.86	-283.467	0.04958776
9400	13479.87	13762.56	-282.6883	0.05013392
9500	13481.56	13762.98	-281.414	0.05053092
9600	13487.61	13771.96	-284.345	0.04868825
9700	13462.92	13748.29	-285.3696	0.04908761
9800	13478.71	13761.07	-282.364	0.04961281
9900	13478.7	13762.6	-283.9008	0.0488964
10000	13491.83	13776.7	-284.865	0.04855796
10100	13478.36	13763.65	-285.2878	0.04876956
10200	13482.4	13767.96	-285.5646	0.04936537
10300	13476.61	13761.88	-285.2723	0.0479568
10400	13484.51	13766.93	-282.4165	0.04995353
10500	13482.83	13766.25	-283.4256	0.04975765
10600	13484.44	13765.71	-281.2667	0.04927918
10700	13472.01	13758.31	-286.2998	0.04891122
10800	13495.43	13775.24	-279.8092	0.04958802
10900	13513.53	13789.69	-276.1629	0.05256266
11000	13483.73	13760.34	-276.6082	0.05250737
11100	13479.21	13758.59	-279.3816	0.05265263
11200	13495.97	13776.01	-280.0357	0.04975387
11300	13475.89	13756.89	-281.003	0.05017939
11400	13481.49	13765.65	-284.159	0.0496751
11500	13475.96	13760.04	-284.0717	0.05008035
11600	13468.93	13750.21	-281.2841	0.05036253
11700	13449.52	13731.76	-282.2386	0.05061752
11800	13467.76	13749.89	-282.1292	0.05057331
11900	13453.05	13734.76	-281.7114	0.05056828
12000	13470.34	13751.58	-281.2463	0.04947683
12100	13506.58	13784.3	-277.7208	0.05200295
12200	13497.44	13774.48	-277.0388	0.05235436
12300	13488.7	13768.35	-279.6447	0.05254226
12400	13502.01	13780.28	-278.2731	0.0517252
12500	13489.37	13765.96	-276.5987	0.05241558
12600	13495.68	13770.4	-274.7234	0.05434344
12700	13500.9	13779.7	-278.8044	0.05088624
12800	13498.96	13779.13	-280.1698	0.05155058
12900	13488.35	13770.52	-282.163	0.04969977
13000	13475.83	13760.76	-284.9224	0.04859678
13100	13489.83	13773.4	-283.5768	0.04890995
13200	13477.68	13762.54	-284.8582	0.0494717
13300	13502.91	13783.73	-280.8237	0.04995466
13400	13497.39	13781.18	-283.7896	0.04750866
13500	13476.43	13765.89	-289.4655	0.0474846
13600	13483.53	13765.65	-282.122	0.0497496
13700	13501.1	13784.44	-283.3377	0.04903516
13800	13493.32	13769.83	-276.5122	0.05049052
13900	13495.98	13776.64	-280.6558	0.05046689
14000	13507.08	13784.85	-277.769	0.05104377
14100	13504.81	13780.83	-276.0169	0.05276988
14200	13496.93	13774.74	-277.81	0.05314386
14300	13506.46	13783.67	-277.2061	0.05164089
14400	13496.81	13775.41	-278.6071	0.05112869
14500	13481.71	13761.29	-279.5849	0.05007182
14600	13496.87	13779.56	-282.6945	0.04956596
14700	13478.03	13757.67	-279.6487	0.05076223
14800	13473.55	13756.08	-282.53	0.04944712
14900	13489.82	13769.57	-279.7563	0.04917315
15000	13485.1	13762.6	-277.5059	0.05171177
15100	13490.05	13765.06	-275.0074	0.05201284
15200	13497.86	13774.29	-276.4336	0.05193462
15300	13489.37	13765.43	-276.0608	0.0527376
15400	13491.39	13770.31	-278.9138	0.05124246
15500	13480.31	13760.56	-280.2442	0.04958471
15600	13488.9	13768.98	-280.083	0.050729
15700	13506.8	13782.27	-275.4704	0.05188723
15800	13480.55	13758.85	-278.3042	0.05098759
15900	13488.18	13768.97	-280.791	0.05087347
16000	13497.82	13779.33	-281.5075	0.04888623
16100	13488.02	13770.86	-282.8457	0.0489049
16200	13500.06	13788.73	-288.6718	0.04716721
16300	13506.56	13788.06	-281.4996	0.05046439
16400	13505.64	13780.44	-274.8037	0.05261029
16500	13496.38	13776.76	-280.3737	0.05143117
16600	13502.7	13782.73	-280.0256	0.05076904
16700	13489.37	13765.81	-276.4387	0.05237326
16800	13516.04	13787.17	-271.1271	0.05446599
16900	13510.4	13782.75	-272.3487	0.0542241
17000	13505.99	13778.83	-272.8326	0.05310805
17100	13489.16	13765.4	-276.2457	0.05182936
17200	13497.18	13769.71	-272.5317	0.05418185
17300	13486.99	13763.11	-276.1243	0.05273325
17400	13486.8	13769.15	-282.3415	0.04993639
17500	13485.5	13767.12	-281.616	0.05049571
17600	13481.38	13765.27	-283.8956	0.04898749
17700	13490.47	13776.85	-286.3796	0.04810098
17800	13492.77	13773.1	-280.3326	0.0505302
17900	13503.61	13780.54	-276.9334	0.05127832
18000	13498.54	13777.41	-278.8725	0.05123415
18100	13490.44	13771.59	-281.1408	0.05144834
18200	13497.48	13782.23	-284.7436	0.04956427
18300	13477.4	13764.65	-287.2518	0.04844021
18400	13490.51	13775.66	-285.1562	0.0484894
18500	13486.47	13772.48	-286.0136	0.04860497
18600	13485.05	13767.26	-282.2013	0.04920093
18700	13486.3	13768.16	-281.8551	0.04994303
18800	13492.31	13773.44	-281.1245	0.05021981
18900	13483.39	13763.15	-279.752	0.05044845
19000	13487.75	13767.31	-279.5616	0.05098777
19100	13494.94	13773.56	-278.6233	0.05163568
19200	13476.61	13753.63	-277.016	0.05169971
19300	13491.91	13770.93	-279.0243	0.05105234
19400	13471.4	13751.03	-279.6363	0.05012675
19500	13483.01	13759.45	-276.4385	0.05201375
19600	13503.64	13780.06	-276.4157	0.05290673
19700	13484.08	13759.77	-275.6849	0.05342748
19800	13476.82	13755.77	-278.946	0.04995069
19900	13470.43	13752.65	-282.2177	0.04983888
20000	13469.29	13756.36	-287.0651	0.04822665
20100	13496.03	13774.05	-278.0223	0.05172007
20200	13514.75	13793.94	-279.1818	0.05193391
20300	13496.83	13775.44	-278.6116	0.05054813
20400	13505.73	13785.03	-279.2929	0.05014862
20500	13514.92	13793.43	-278.5127	0.04998618
20600	13510.57	13786.32	-275.7515	0.05123229
20700	13513.16	13791.68	-278.5215	0.05018896
20800	13497.83	13777.76	-279.9292	0.05027943
20900	13502.99	13783.06	-280.0621	0.0504166
21000	13497.97	13776.29	-278.3201	0.05122976
21100	13491.4	13773.99	-282.5874	0.04943948
21200	13464.46	13748.56	-284.0976	0.04845366
21300	13482.76	13766.59	-283.8353	0.0488889
21400	13468.71	13753.08	-284.3758	0.04818285
21500	13489.88	13775.2	-285.3168	0.04795493
21600	13495.11	13777.31	-282.2034	0.05019563
21700	13480.39	13760.08	-279.6924	0.05055774
21800	13487.91	13767.69	-279.7784	0.04930262
21900	13503.37	13780.8	-277.4346	0.0525085
22000	13494.55	13770.75	-276.2044	0.05148237
22100	13496.8	13775.16	-278.3618	0.05153463
