Iteration	Posterior	Likelihood	Prior	diversification	logSigma	sigma	speciation
0	-4651.335	-4237.933	-413.4017	1.14663	0.158356	1.439979	1.14663
10	-2651.528	-2238.056	-413.4716	1.14663	-0.02000342	0.9549851	1.14663
20	-22616.98	-22205.06	-411.9208	1.14663	1.759333	57.45573	1.14663
30	2602.301	3009.647	-407.3466	1.14663	-0.9941346	0.1013597	1.14663
40	-3141.586	-2732.011	-409.574	1.14663	0.05481691	1.134532	1.14663
50	-14647.97	-14236.88	-411.0893	1.14663	1.040261	10.97137	1.14663
60	-2107.93	-1695.166	-412.7632	1.14663	-0.9224566	0.1195483	1.14663
70	-17861.93	-17447.89	-414.0435	1.14663	1.307234	20.28775	1.14663
80	-22684.06	-22273.28	-410.7724	1.14663	1.743386	55.38427	1.14663
90	-10707.58	-10295.84	-411.7412	1.14663	0.7009772	5.023162	1.14663
100	131.1629	541.8137	-410.6508	1.14663	-0.4848275	0.3274707	1.14663
110	-9089.831	-8679.769	-410.0612	1.14663	0.577819	3.782849	1.14663
120	-1813.7	-1404.786	-408.9134	1.14663	-0.6871153	0.2055345	1.14663
130	-1994.078	-1584.768	-409.3097	1.14663	-0.03099661	0.9311151	1.14663
140	-7739.813	-7328.502	-411.3106	1.14663	0.45775	2.869128	1.14663
150	2000.969	2417.221	-416.2512	1.14663	-0.4514011	0.3536705	1.14663
160	-13826.8	-13411.42	-415.3837	1.14663	0.9535804	8.986289	1.14663
170	-17233.79	-16819.5	-414.2917	1.14663	1.27992	19.05108	1.14663
180	-11896.32	-11482.93	-413.389	1.14663	0.792336	6.199206	1.14663
190	-12115.85	-11700.71	-415.1342	1.14663	0.8083712	6.432373	1.14663
200	-16587.9	-16172.77	-415.1269	1.14663	1.184043	15.27717	1.14663
210	-10868.38	-10456.52	-411.8523	1.14663	0.7166993	5.208339	1.14663
220	-16759.01	-16347.53	-411.4805	1.14663	1.216576	16.46555	1.14663
230	5015.207	5424.143	-408.9354	1.14663	-0.8094686	0.1550713	1.14663
240	4564.59	4974.176	-409.5866	1.14663	-0.7654125	0.1716277	1.14663
250	3875.537	4284.399	-408.862	1.14663	-0.6546412	0.2214924	1.14663
260	4915.918	5327.941	-412.0231	1.14663	-0.8461771	0.1425026	1.14663
270	-6696.888	-6284.834	-412.0533	1.14663	0.3452129	2.21418	1.14663
280	-21069.62	-20657.18	-412.437	1.14663	1.595443	39.39521	1.14663
290	-1346.312	-934.9179	-411.3937	1.14663	-0.119565	0.7593378	1.14663
300	225.3757	636.4801	-411.1044	1.14663	-0.2703061	0.5366534	1.14663
310	1333.799	1745.508	-411.7086	1.14663	-0.3643877	0.4321279	1.14663
320	-5341.792	-4936.99	-404.8015	1.14663	0.2722188	1.871625	1.14663
330	-1877.898	-1469.937	-407.9608	1.14663	-1.075984	0.08394917	1.14663
340	-6858.524	-6448.531	-409.9926	1.14663	0.3662903	2.32429	1.14663
350	3361.399	3768.486	-407.0871	1.14663	-0.5418532	0.2871751	1.14663
360	-118.5195	287.305	-405.8245	1.14663	-0.2057042	0.6227243	1.14663
370	-6354.347	-5942.421	-411.9256	1.14663	0.3182491	2.08089	1.14663
380	-5519.142	-5103.65	-415.4925	1.14663	0.2108399	1.624949	1.14663
390	-18830.77	-18414.42	-416.3531	1.14663	1.37211	23.55644	1.14663
400	-10040.96	-9629.486	-411.4762	1.14663	0.6306006	4.271698	1.14663
410	-12790.13	-12378.56	-411.5732	1.14663	0.8825787	7.630952	1.14663
420	-19324.56	-18911.71	-412.8517	1.14663	-1.385762	0.04113748	1.14663
430	166.2754	574.6707	-408.3953	1.14663	-1.232646	0.0585267	1.14663
440	-2133.889	-1725.159	-408.7304	1.14663	-1.238168	0.05778724	1.14663
450	-1351.658	-937.6858	-413.9726	1.14663	-0.1503239	0.707418	1.14663
460	-8544.251	-8130.766	-413.4845	1.14663	0.4869276	3.06851	1.14663
470	-18470.59	-18058.65	-411.9349	1.14663	1.367181	23.29059	1.14663
480	1405.233	1819.201	-413.9672	1.14663	-1.308072	0.04919581	1.14663
490	-9902.461	-9487.778	-414.6835	1.14663	0.6063515	4.039722	1.14663
500	-10648.51	-10235.36	-413.154	1.14663	0.6819292	4.807609	1.14663
510	-29362.66	-28944.78	-417.8847	1.14663	2.296881	198.0983	1.14663
520	1791.318	2205.213	-413.8952	1.14663	-0.5790369	0.2636108	1.14663
530	-11728.35	-11313.59	-414.7611	1.14663	-1.399463	0.03985998	1.14663
540	816.4325	1233.624	-417.1912	1.14663	-0.3440568	0.4528384	1.14663
550	-10479.63	-10064.45	-415.1756	1.14663	0.6645767	4.619306	1.14663
560	-12276.16	-11860.75	-415.4189	1.14663	0.8074488	6.418725	1.14663
570	-14178.55	-13762.43	-416.1268	1.14663	0.9761406	9.465436	1.14663
580	4554.163	4966.814	-412.651	1.14663	-0.7076015	0.1960643	1.14663
590	-25201.39	-24788.65	-412.7402	1.14663	1.969506	93.21926	1.14663
600	4056.787	4467.913	-411.1258	1.14663	-0.7117671	0.1941927	1.14663
610	-13618.22	-13206.56	-411.6579	1.14663	0.9545157	9.005662	1.14663
620	-2701.443	-2289.721	-411.7227	1.14663	0.002293269	1.005294	1.14663
630	-24878.55	-24461.6	-416.956	1.14663	1.917634	82.72446	1.14663
640	3721.866	4135.478	-413.6117	1.14663	-0.614328	0.2430368	1.14663
650	-7015.083	-6602.307	-412.7756	1.14663	0.3775978	2.385601	1.14663
660	-194.3187	217.6763	-411.995	1.14663	-0.2409984	0.5741186	1.14663
670	-2750.596	-2337.985	-412.6112	1.14663	-0.00639917	0.9853734	1.14663
680	-18018.3	-17606.45	-411.8425	1.14663	1.313609	20.58777	1.14663
690	3783.985	4193.169	-409.1833	1.14663	-0.7665781	0.1711677	1.14663
700	1498.065	1905.173	-407.108	1.14663	-0.9695916	0.1072527	1.14663
710	-1551.709	-1139.987	-411.7223	1.14663	-0.1024053	0.7899411	1.14663
720	-17950.97	-17538.72	-412.2529	1.14663	1.333937	21.57432	1.14663
730	-15300.74	-14886.04	-414.6998	1.14663	1.080785	12.04439	1.14663
740	-116595.8	-116179.3	-416.5383	1.14663	-1.7994	0.01587084	1.14663
750	-13809.4	-13391.81	-417.5868	1.14663	0.9339733	8.589607	1.14663
760	-12320.41	-11906.93	-413.4748	1.14663	0.8220539	6.638255	1.14663
770	1637.887	2046.933	-409.046	1.14663	-0.385099	0.4120036	1.14663
780	-3645.17	-3231.531	-413.6392	1.14663	0.07742824	1.195166	1.14663
790	-5127.487	-4719.397	-408.0901	1.14663	0.2249261	1.678518	1.14663
800	-27097.43	-26684.02	-413.4094	1.14663	2.114115	130.0514	1.14663
810	2846.846	3256.754	-409.9076	1.14663	-0.5218276	0.300727	1.14663
820	3115.697	3529.628	-413.9312	1.14663	-1.052859	0.08854036	1.14663
830	1985.156	2399.174	-414.0184	1.14663	-0.4843106	0.3278607	1.14663
840	3474.777	3886.651	-411.8745	1.14663	-0.58817	0.2581249	1.14663
850	1181.278	1592.93	-411.6525	1.14663	-0.3623604	0.4341498	1.14663
860	-342116.4	-341699.8	-416.6191	1.14663	-2.107182	0.007813	1.14663
870	-4177.871	-3764.473	-413.3984	1.14663	0.1203817	1.319416	1.14663
880	-10206.17	-9796.077	-410.0909	1.14663	0.6592661	4.563164	1.14663
890	-69234.76	-68823.77	-410.996	1.14663	-1.684189	0.02069241	1.14663
900	-30071.33	-29659.56	-411.7764	1.14663	2.403093	252.984	1.14663
910	2689.597	3099.832	-410.2344	1.14663	-0.5756917	0.265649	1.14663
920	3215.057	3623.651	-408.5934	1.14663	-0.7126428	0.1938015	1.14663
930	-8278.227	-7869.445	-408.7821	1.14663	0.4932921	3.11381	1.14663
940	-31972.85	-31557.93	-414.921	1.14663	2.546288	351.794	1.14663
950	2600.726	3013.549	-412.8237	1.14663	-0.4877514	0.3252735	1.14663
960	-515.8154	-100.1348	-415.6807	1.14663	-0.2186301	0.6044632	1.14663
970	4335.254	4748.943	-413.6892	1.14663	-0.7665093	0.1711949	1.14663
980	4962.179	5375.466	-413.287	1.14663	-0.845286	0.1427953	1.14663
990	-1999.714	-1587.792	-411.9226	1.14663	-0.06854542	0.8539935	1.14663
1000	-1762.661	-1348.788	-413.8735	1.14663	-0.09427272	0.8048729	1.14663
