Iteration	Posterior	Likelihood	Prior	sigma
0	13202.49	13580.45	-377.9521	0.03913578
100	13184.7	13563.67	-378.9668	0.03890496
200	13205.53	13583.61	-378.0756	0.03958476
300	13222.03	13599.15	-377.1179	0.0414492
400	13207.41	13585	-377.5893	0.03932591
500	13201.61	13580.6	-378.9982	0.04051044
600	13194.59	13574.15	-379.5668	0.03892982
700	13159.17	13536.93	-377.7588	0.04005557
800	13193.55	13571.25	-377.7042	0.03946855
900	13218.68	13595.36	-376.6765	0.03924039
1000	13203.24	13580.46	-377.2223	0.0410199
