Iteration	Posterior	Likelihood	Prior	sigma
0	13291.68	13666.06	-374.3759	0.04262504
100	13275.87	13650.87	-375.0015	0.04129012
200	13252.84	13627.91	-375.0676	0.04341724
300	13272.03	13647.38	-375.3522	0.04267835
400	13280.45	13655.2	-374.7568	0.04086109
500	13276.67	13652.93	-376.2557	0.04222142
600	13267.99	13644.77	-376.7866	0.04151339
700	13246.66	13623.36	-376.7026	0.04165425
800	13306.51	13680.95	-374.4469	0.04220912
900	13309.56	13684.17	-374.6121	0.04243644
1000	13287.71	13663.22	-375.5133	0.04155942
