Iteration	Posterior	Likelihood	Prior	sigma
0	10597.21	11008.15	-410.9407	0.04265167
100	10166.89	10580.31	-413.4268	0.04513041
200	9988.679	10402.02	-413.3401	0.04259073
300	9971.463	10383.66	-412.1965	0.04470856
400	10099.72	10516.16	-416.4454	0.04475307
500	10278.98	10691.4	-412.422	0.0451228
600	10148.2	10561.9	-413.7023	0.04396958
700	9901.715	10320.62	-418.9085	0.04381428
800	10124.1	10542.72	-418.6247	0.03823925
900	10124.52	10537.17	-412.6539	0.04253227
1000	10083.41	10496.59	-413.1797	0.04587036
