Iteration	Posterior	Likelihood	Prior	sigma2
0	-2946.263	-2525.587	-420.6757	0.1291085
100	12373.88	12933.62	-559.742	0.04967892
200	14092.44	14652.24	-559.799	0.03466678
300	14752.91	15332.91	-579.9923	0.02830978
400	15136.52	15695.5	-558.9759	0.02495115
500	15376.44	15960.68	-584.2412	0.02399815
600	15500.07	16070.95	-570.8812	0.02415152
700	15603.23	16181.47	-578.2356	0.02415152
800	15650.61	16233.59	-582.9825	0.02415152
900	15742.62	16275.38	-532.7606	0.02415152
1000	15846.84	16410.52	-563.6858	0.02289407
1100	15911.95	16461.39	-549.4449	0.02298078
1200	16023.97	16553.18	-529.2132	0.01973662
1300	16039.82	16594.03	-554.2088	0.01941618
1400	16066.29	16618.45	-552.1603	0.01941618
1500	16119.63	16691.04	-571.4061	0.0180677
1600	16156.27	16723.74	-567.4728	0.01798323
1700	16204.51	16750.59	-546.0734	0.01819584
1800	16226.83	16795.18	-568.3489	0.01765173
1900	16235.45	16786.15	-550.7003	0.01765173
2000	16247.99	16798.42	-550.4304	0.01783929
2100	16298.45	16824.3	-525.8505	0.01586638
2200	16309.38	16840.4	-531.0229	0.01586638
2300	16337.73	16873.14	-535.4172	0.01608671
2400	16355.32	16893.98	-538.6666	0.01551914
2500	16407.94	16932.05	-524.1104	0.01544225
2600	16441.24	16970.34	-529.094	0.014177
2700	16442.83	16997.35	-554.5176	0.01406385
2800	16441.09	16979.82	-538.7295	0.01354772
2900	16459.43	17021.43	-561.995	0.01354772
3000	16497.97	17023.29	-525.3224	0.01331125
3100	16493.89	17023.65	-529.7595	0.01331125
3200	16487.68	17018.5	-530.8248	0.01364016
3300	16509.39	17006.44	-497.0538	0.01364016
3400	16506.29	17012.22	-505.9366	0.01380943
3500	16503.5	17000.37	-496.8688	0.01380943
3600	16489.86	17007.13	-517.2682	0.01343979
3700	16501.96	17012.21	-510.252	0.0123031
3800	16530.69	17036.06	-505.3707	0.01210889
3900	16517.98	17069.72	-551.7377	0.01210889
4000	16546.76	17069.56	-522.7964	0.01309533
4100	16546.68	17055.89	-509.2057	0.01367598
4200	16561.88	17085.95	-524.0671	0.01341766
4300	16567.86	17118.01	-550.1545	0.01270765
4400	16565.57	17072.83	-507.2559	0.01270765
4500	16561.54	17050.81	-489.2614	0.01300354
4600	16567.99	17082.75	-514.7621	0.01300354
4700	16606.42	17129.56	-523.144	0.01300354
4800	16585.68	17085.95	-500.2635	0.01297817
4900	16584.6	17115.46	-530.8638	0.01321579
5000	16592.19	17119.74	-527.5449	0.01360912
