Iteration	Posterior	Likelihood	Prior	sigma
0	13085.74	13465.6	-379.8583	0.03932947
100	13071.63	13451.59	-379.9595	0.0392512
200	13053.87	13434.11	-380.2418	0.03984253
300	13082.5	13461.34	-378.8413	0.03904861
400	13118.21	13497.28	-379.0709	0.04007919
500	13126.06	13503.58	-377.5199	0.04031233
600	13108.31	13487.62	-379.3094	0.03900857
700	13080.86	13460.98	-380.1256	0.03865849
800	13016.33	13398.35	-382.0173	0.03738937
900	12986.62	13369.53	-382.9143	0.03672963
1000	13020.21	13401.63	-381.4201	0.03803765
