Iteration	Posterior	Likelihood	Prior	sigma
0	-12097.8	-11681.59	-416.2119	6.245404
100	-23367.85	-22954.09	-413.7532	63.72787
200	-754.8655	-336.5141	-418.3514	0.6300525
300	-30314.81	-29897	-417.8041	239.1764
400	-540.1263	-125.3298	-414.7966	0.6102478
500	4580.014	4996.283	-416.2693	0.1950228
600	-3174.988	-2762.552	-412.4366	1.072862
700	-7205.341	-6792.901	-412.4396	2.441866
800	-1170274	-1169863	-410.7259	0.006538021
900	-436.0218	-23.45972	-412.5621	0.6093101
1000	607.5901	1016.225	-408.6351	0.5089299
