Iteration	Posterior	Likelihood	Prior	sigma
0	13313.22	13687.21	-373.9905	0.04409409
100	13351.06	13724.6	-373.543	0.04230097
200	13365.11	13737.79	-372.6725	0.04388433
300	13341.63	13714	-372.3643	0.04437272
400	13362.38	13735.21	-372.8296	0.04510682
500	13334.47	13709.08	-374.6048	0.04252262
600	13325.14	13699.35	-374.2126	0.04368453
700	13338.85	13712.24	-373.3893	0.04489001
800	13308.61	13681.81	-373.2025	0.04381129
900	13354.46	13728.43	-373.9639	0.04305931
1000	13316.16	13690.48	-374.3157	0.04316435
