Iteration	Posterior	Likelihood	Prior	sigma
0	5304.925	5716.584	-411.6587	0.1511513
100	3109.32	3524.082	-414.7623	0.1291689
200	-2604.438	-2189.515	-414.9235	0.9169438
300	6098.488	6509.737	-411.2489	0.1138591
400	2245.324	2662.537	-417.2125	0.3209594
500	3533.107	3940.747	-407.6401	0.2147924
600	-19537.01	-19123.66	-413.3573	29.2313
700	922.8016	1336.487	-413.6851	0.4618714
800	-16628.57	-16219.27	-409.3003	17.75301
900	-21917.83	-21501.75	-416.0818	44.77929
1000	-81858.13	-81443.9	-414.2301	0.01834285
