Iteration	Posterior	Likelihood	Prior	diversification	logSigma	sigma	speciation
0	4324.427	4738.135	-413.7085	1.14663	-0.7150869	0.1927139	1.14663
10	5598.612	6020.038	-421.426	1.14663	-1.06444	0.08621053	1.14663
20	4013.667	4430.318	-416.6512	1.14663	-0.6419801	0.2280447	1.14663
30	5907.418	6325.14	-417.7214	1.14663	-0.9320127	0.1169465	1.14663
40	1137.272	1553.486	-416.2148	1.14663	-0.4176642	0.3822397	1.14663
50	3148.417	3562.211	-413.7941	1.14663	-0.5403002	0.2882039	1.14663
60	3281.474	3698.941	-417.4667	1.14663	-1.122718	0.07538448	1.14663
70	4446.532	4862.759	-416.2268	1.14663	-0.7968111	0.1596574	1.14663
80	3219.141	3638.49	-419.3485	1.14663	-0.6758781	0.210922	1.14663
90	5627.417	6047.296	-419.8787	1.14663	-0.9310512	0.1172057	1.14663
100	-5166.606	-4751.88	-414.7269	1.14663	0.2158747	1.643897	1.14663
110	3836.615	4250.533	-413.9181	1.14663	-0.6345391	0.2319855	1.14663
120	4733.802	5147.641	-413.8386	1.14663	-0.8295226	0.1480735	1.14663
130	3771.353	4178.742	-407.3891	1.14663	-0.7205425	0.1903082	1.14663
140	4015.251	4426.057	-410.8068	1.14663	-0.9631253	0.1088616	1.14663
150	3594.109	4004.6	-410.4904	1.14663	-0.8121867	0.1541038	1.14663
160	4553.712	4963.079	-409.3665	1.14663	-0.7211696	0.1900336	1.14663
170	3061.374	3473.826	-412.4517	1.14663	-0.539291	0.2888744	1.14663
180	4023.128	4436.898	-413.7696	1.14663	-0.7411077	0.1815066	1.14663
190	4457.971	4872.981	-415.01	1.14663	-0.7164689	0.1921016	1.14663
200	6802.978	7213.583	-410.6055	1.14663	-1.126324	0.07476123	1.14663
210	4366.667	4779.621	-412.9538	1.14663	-1.016752	0.09621615	1.14663
220	5224.584	5636.157	-411.5727	1.14663	-0.8819419	0.1312375	1.14663
