Iteration	Posterior	Likelihood	Prior	sigma
0	-14335.13	-13927.58	-407.5442	10.37754
100	-6780.315	-6366.171	-414.1441	2.182306
200	-3149.083	-2738.557	-410.5264	1.04359
300	-16503.88	-16092.19	-411.6939	16.39584
400	-11750.75	-11346.99	-403.7613	6.864888
500	-882.0301	-472.7577	-409.2725	0.7195466
600	-2472.497	-2059.555	-412.942	0.9467575
700	3962.66	4374.641	-411.9811	0.1558995
800	-14317.06	-13904.49	-412.5717	10.24716
900	5105.268	5518.602	-413.334	0.1519196
1000	-62472.6	-62060.58	-412.0154	0.02244488
