Iteration	Posterior	Likelihood	Prior	sigma
0	10755.94	11165.39	-409.4449	0.03987979
100	10930.86	11339.74	-408.875	0.03730533
200	10740.18	11154.11	-413.9331	0.03738057
300	10903.39	11313.83	-410.4406	0.03788532
400	11155.34	11562.81	-407.4711	0.03647316
500	10948.33	11355.06	-406.734	0.04144868
600	11062.98	11471.57	-408.5906	0.03645694
700	11135.51	11545.5	-409.987	0.03789717
800	10974.22	11385.19	-410.9732	0.03620172
900	10666.85	11085.98	-419.1287	0.03703051
1000	10843.53	11258.79	-415.261	0.03541168
