Iteration	Posterior	Likelihood	Prior	sigma
0	12003.64	12402.92	-399.2776	0.03521007
100	12070.64	12468.68	-398.0394	0.03586845
200	12089.54	12484.63	-395.0911	0.03714204
300	11953.18	12352.12	-398.9385	0.03512631
400	11811.16	12217.9	-406.7401	0.03460805
500	11818.65	12223.31	-404.6605	0.03275344
600	12083.32	12480.03	-396.7062	0.03528553
700	12050.5	12447.04	-396.5418	0.03508935
800	11939.74	12340.75	-401.0182	0.03522008
900	11977.43	12377.71	-400.283	0.03420269
1000	11890.14	12291.93	-401.7885	0.03489872
