Iteration	Posterior	Likelihood	Prior	sigma
0	5797.479	6211.979	-414.5008	0.08024733
100	4356.683	4772.655	-415.9716	0.05663554
200	5677.531	6096.232	-418.7011	0.0665662
300	4709.862	5126.026	-416.1643	0.1759356
400	1930.087	2342.725	-412.6376	0.3695252
500	5108.013	5513.714	-405.7014	0.1944747
600	3977.584	4389.136	-411.5522	0.1885863
700	5785.426	6201.613	-416.187	0.08106317
800	5942.12	6351.5	-409.3796	0.1388936
900	6385.618	6796.706	-411.0876	0.110588
1000	5047.983	5463.929	-415.9462	0.1477228
