Iteration	Posterior	Likelihood	Prior	sigma
0	12973.28	13357.19	-383.9104	0.036825
100	13000.35	13382.18	-381.8222	0.03728941
200	12997.42	13380.35	-382.9293	0.03854053
300	12989.35	13373.08	-383.7339	0.03489185
400	13002.76	13385.65	-382.8934	0.03632491
500	12979.34	13363.11	-383.7654	0.03614182
600	12973.41	13356.32	-382.9129	0.03606041
700	12993.3	13378.81	-385.5104	0.03534062
800	13008.02	13392.07	-384.0429	0.03569868
900	13010.57	13392.11	-381.5347	0.03839518
1000	12990.17	13374.36	-384.1893	0.03624505
