Iteration	Posterior	Likelihood	Prior	diversification	logSigma	sigma	speciation
0	4781.826	5194.538	-412.7111	1.14663	-1.039384	0.09133063	1.14663
10	6813.065	7228.335	-415.2697	1.14663	-1.025989	0.09419142	1.14663
20	6353.25	6768.061	-414.8104	1.14663	-1.033462	0.0925845	1.14663
30	7071.284	7485.888	-414.6049	1.14663	-1.14051	0.07235849	1.14663
40	6094.135	6510.399	-416.2641	1.14663	-1.100981	0.07925363	1.14663
50	6408.546	6822.44	-413.8941	1.14663	-0.9417301	0.1143589	1.14663
60	6523.942	6934.931	-410.9888	1.14663	-1.027906	0.09377649	1.14663
70	6832.186	7247.743	-415.5567	1.14663	-1.066958	0.08571215	1.14663
80	6667.441	7081.981	-414.54	1.14663	-0.99941	0.1001359	1.14663
90	5771.489	6183.909	-412.4197	1.14663	-0.9782989	0.1051238	1.14663
100	6185.26	6597.622	-412.3614	1.14663	-1.006862	0.09843246	1.14663
110	5688.46	6104.05	-415.591	1.14663	-0.903567	0.1248628	1.14663
120	6607.812	7026.407	-418.5948	1.14663	-1.022023	0.09505534	1.14663
130	6497.684	6913.851	-416.1663	1.14663	-1.133399	0.07355304	1.14663
140	6352.72	6764.117	-411.3977	1.14663	-1.017044	0.09615159	1.14663
150	6348.707	6762.692	-413.9848	1.14663	-1.099259	0.0795684	1.14663
160	6842.678	7258.149	-415.4706	1.14663	-1.001251	0.09971238	1.14663
170	6916.863	7332.873	-416.0106	1.14663	-1.13618	0.07308357	1.14663
180	6730.714	7143.812	-413.0972	1.14663	-1.003844	0.09911876	1.14663
190	5370.109	5779.045	-408.9362	1.14663	-0.8445446	0.1430393	1.14663
200	6715.81	7126.34	-410.5296	1.14663	-0.962316	0.1090647	1.14663
210	6647.347	7059.085	-411.7385	1.14663	-0.962316	0.1090647	1.14663
220	6040.752	6452.199	-411.4469	1.14663	-0.9125747	0.1222997	1.14663
230	6119.369	6532.178	-412.8093	1.14663	-0.8816994	0.1313108	1.14663
240	5135.727	5546.696	-410.9689	1.14663	-0.9079855	0.1235989	1.14663
250	6051.182	6462.328	-411.1452	1.14663	-0.9370526	0.1155972	1.14663
260	6540.533	6949.382	-408.8492	1.14663	-1.003167	0.09927334	1.14663
270	6459.473	6873.444	-413.9712	1.14663	-0.988988	0.102568	1.14663
280	6748.705	7159.797	-411.0925	1.14663	-1.016847	0.09619505	1.14663
290	5699.696	6118.203	-418.507	1.14663	-1.174928	0.06684544	1.14663
300	5255.891	5671.818	-415.9272	1.14663	-0.9714963	0.1067834	1.14663
310	6023.524	6441.816	-418.2918	1.14663	-0.921677	0.1197631	1.14663
320	6381.863	6796.537	-414.6742	1.14663	-1.08513	0.08219958	1.14663
330	5696.41	6109.37	-412.9599	1.14663	-0.9927289	0.1016883	1.14663
340	5595.691	6006.661	-410.9704	1.14663	-0.8556451	0.1394296	1.14663
350	5460.163	5872.528	-412.365	1.14663	-1.089979	0.08128689	1.14663
360	5859.341	6270.419	-411.0782	1.14663	-0.9069537	0.1238929	1.14663
370	6612.091	7020.208	-408.1163	1.14663	-0.992254	0.1017996	1.14663
380	6102.39	6513.789	-411.3989	1.14663	-0.9019813	0.1253195	1.14663
390	5571.315	5982.56	-411.2448	1.14663	-0.9004485	0.1257626	1.14663
400	6419.172	6829.868	-410.6958	1.14663	-1.050721	0.0889772	1.14663
410	5683.333	6091.005	-407.6723	1.14663	-0.9564312	0.1105526	1.14663
420	4561.315	4966.905	-405.5899	1.14663	-0.6676174	0.2149724	1.14663
430	6443.379	6856.118	-412.7384	1.14663	-0.9496428	0.1122942	1.14663
440	6433.925	6849.573	-415.6476	1.14663	-1.132267	0.07374511	1.14663
450	6446.14	6861.657	-415.5169	1.14663	-1.050476	0.08902754	1.14663
460	6421.56	6830.957	-409.3966	1.14663	-0.9500614	0.112186	1.14663
