Iteration	Posterior	Likelihood	Prior	sigma
0	6930.142	7346.325	-416.1833	0.09338739
100	5710.043	6121.907	-411.8632	0.079858
200	6821.535	7237.302	-415.7668	0.08038008
300	7017.84	7435.307	-417.4667	0.06536516
400	6172.832	6588.533	-415.7012	0.07803925
500	6503.795	6924.995	-421.2004	0.08210424
600	6640.939	7055.553	-414.6145	0.09878207
700	6818.227	7237.609	-419.382	0.072081
800	6331.093	6740.743	-409.6499	0.1073783
900	6716.988	7130.961	-413.9727	0.06728693
1000	6274.042	6681.648	-407.6063	0.1032291
