Iteration	Posterior	Likelihood	Prior	sigma
0	13255.63	13631.87	-376.2402	0.04159444
100	13258.06	13633.7	-375.6371	0.04100754
200	13223.53	13600.17	-376.638	0.04087166
300	13263.66	13638.62	-374.9573	0.04215362
400	13242.88	13619.51	-376.6301	0.04056405
500	13273.78	13649.54	-375.7641	0.04168846
600	13291.94	13667.86	-375.9238	0.04091638
700	13256.59	13633.46	-376.866	0.0407013
800	13272.85	13649.78	-376.9256	0.04021568
900	13268.38	13644.88	-376.508	0.0401163
1000	13229.07	13605.3	-376.2232	0.04154641
