Iteration	Posterior	Likelihood	Prior	sigma
0	12680.55	13065.55	-384.9983	0.03798539
100	12715.39	13102.5	-387.112	0.0355945
200	12682.11	13072.51	-390.4019	0.03503506
300	12772.34	13159.22	-386.8885	0.03638339
400	12805.93	13190.53	-384.6013	0.03653615
500	12694.02	13085.24	-391.2225	0.03499582
600	12766.43	13154.15	-387.724	0.03553539
700	12795.63	13182.83	-387.1986	0.03498422
800	12764.51	13150.74	-386.2291	0.03515962
900	12830.32	13216.19	-385.8686	0.03549611
1000	12759.79	13145.87	-386.0741	0.03711247
