state	power	likelihood
260	1.024e-07	-9452.04
270	1.024e-07	-14319.3
280	1.024e-07	-9300.46
290	1.024e-07	5273.21
300	1.024e-07	-29897
310	1.024e-07	-18391.6
320	1.024e-07	-22117.8
330	1.024e-07	3164.97
340	1.024e-07	1636.77
350	1.024e-07	-14255.1
360	1.024e-07	2644.19
370	1.024e-07	-7714.21
380	1.024e-07	-13792.7
390	1.024e-07	-1966.37
400	1.024e-07	-125.33
410	1.024e-07	-6389.7
420	1.024e-07	1046.27
430	1.024e-07	1109.31
440	1.024e-07	-4975.86
450	1.024e-07	4210.49
460	1.024e-07	-10248.1
470	1.024e-07	-28338.5
480	1.024e-07	5907.54
490	1.024e-07	-20082
500	1.024e-07	4996.28
510	1.024e-07	-17273
520	1.024e-07	-4371.62
530	1.024e-07	-19628.7
540	1.024e-07	-112860
550	1.024e-07	-18054.4
560	1.024e-07	-1012.26
570	1.024e-07	-18548.2
580	1.024e-07	-19319.4
590	1.024e-07	-15445.2
600	1.024e-07	-2762.55
610	1.024e-07	-12395.5
620	1.024e-07	2956.74
630	1.024e-07	-882.491
640	1.024e-07	-1837.96
650	1.024e-07	-30424.1
660	1.024e-07	-7210.36
670	1.024e-07	-24241.4
680	1.024e-07	-1244.99
690	1.024e-07	999.18
700	1.024e-07	-6792.9
710	1.024e-07	-8202.38
720	1.024e-07	-4265.3
730	1.024e-07	-19364.4
740	1.024e-07	3880.36
750	1.024e-07	-47907.5
760	1.024e-07	-6963.17
770	1.024e-07	4257.25
780	1.024e-07	-11676.4
790	1.024e-07	-10171.9
800	1.024e-07	-1.16986e+06
810	1.024e-07	2325.02
820	1.024e-07	-5916.28
830	1.024e-07	-23330.8
840	1.024e-07	-8289
850	1.024e-07	-3957.6
860	1.024e-07	-523.806
870	1.024e-07	1408.5
880	1.024e-07	-3487.62
890	1.024e-07	-2.00829e+06
900	1.024e-07	-23.4597
910	1.024e-07	-915917
920	1.024e-07	-7604.94
930	1.024e-07	-2551.25
940	1.024e-07	-8813.45
950	1.024e-07	-7300.36
960	1.024e-07	-10278.4
970	1.024e-07	622.588
980	1.024e-07	-2359.87
990	1.024e-07	4076.16
1000	1.024e-07	1016.23
