Iteration	Posterior	Likelihood	Prior	sigma
0	12210.58	12605.69	-395.1135	0.03658306
100	12186.49	12580.27	-393.7786	0.03696366
200	12263.84	12657	-393.1626	0.03665788
300	12243.86	12638.18	-394.319	0.03561891
400	12348.23	12746.02	-397.7863	0.033214
500	12337.68	12734.95	-397.2706	0.03409852
600	12332.18	12726.46	-394.2747	0.03543946
700	12233.92	12632.77	-398.8466	0.03405937
800	12398.87	12792.54	-393.6677	0.03359467
900	12172.37	12568.62	-396.2419	0.03603609
1000	12085.18	12480.04	-394.8551	0.03877114
