Iteration	Posterior	Likelihood	Prior	sigma
0	7701.074	8121.618	-420.5441	0.05661539
100	7712.489	8126.622	-414.1329	0.07121068
200	7081.15	7496.306	-415.1562	0.09165029
300	7285.441	7706.183	-420.7425	0.07917434
400	7262.602	7685.876	-423.2738	0.05348803
500	7492.803	7916.021	-423.2178	0.07542265
600	7309.008	7726.109	-417.1004	0.06637674
700	7298.458	7721.691	-423.2331	0.08122538
800	7667.152	8084.155	-417.0035	0.07039841
900	7055.076	7468.692	-413.6162	0.07618376
1000	7548.012	7963.944	-415.9321	0.06843773
