Iteration	Posterior	Likelihood	Prior	sigma
0	12466.5	12856.78	-390.2845	0.03636271
100	12369.43	12763.5	-394.0648	0.03540014
200	12398.69	12791.81	-393.1197	0.03306354
300	12358.8	12750.37	-391.576	0.03592743
400	12281.7	12677.36	-395.6572	0.03404243
500	12320.01	12716.28	-396.2726	0.03396765
600	12425.66	12814.43	-388.768	0.03610594
700	12545.94	12935.94	-390.0026	0.03363766
800	12410.29	12806.19	-395.9011	0.03135592
900	12434.73	12825.95	-391.22	0.03535426
1000	12507.87	12895.91	-388.042	0.0387893
