ID,site,context,municipality,county,country,country_code,paroisse,canton,comte,commune,lat,lng
UK-41,Avebury 46a,NA,Avebury,Witltshire,United Kingdom,GB,NA,NA,NA,NA,51.41667,-1.86667
UK-42,Morgan's Hill / Bishop Cannings 28a,NA,Bishop Cannings,Witltshire,United Kingdom,GB,NA,NA,NA,NA,51.377,-1.947
UK-43,Roundway Hill G5b,NA,Bishop Cannings,Witltshire,United Kingdom,GB,NA,NA,NA,NA,51.377,-1.947
UK-44,Roundway Hill G8,NA,Bishop Cannings,Witltshire,United Kingdom,GB,NA,NA,NA,NA,51.377,-1.947
UK-45,Snail Down,Tombe 19 / “Hunter's Barrow”,Collingbourne Kingston,Witltshire,United Kingdom,GB,NA,NA,NA,NA,51.30358,-1.6511
UK-46,Durrington G67,NA,Durrington,Witltshire,United Kingdom,GB,NA,NA,NA,NA,51.19769,-1.80786
UK-47,Alton Parva / Fighealdean G26,NA,Fighealdean,Witltshire,United Kingdom,GB,NA,NA,NA,NA,NA,NA
UK-48,Monkton Farleigh 2 / Jug's Grace,NA,Monkton Farleigh,Witltshire,United Kingdom,GB,NA,NA,NA,NA,51.38089,-2.27718
UK-49,Wanborough I / Aldbourne / Popple Church,NA,Wanborough,Witltshire,United Kingdom,GB,NA,NA,NA,NA,51.54263,-1.69837
UK-50,Wilsford G54 / Lake 21,NA,Wilsford,Witltshire,United Kingdom,GB,NA,NA,NA,NA,51.29066,-1.87559
UK-51,Winterbourne Monkton 9,NA,Winterbourne,Witltshire,United Kingdom,GB,NA,NA,NA,NA,51.11608,-1.74436
UK-52,Winterslow Hut / Winterslow 3,NA,Winterslow,Witltshire,United Kingdom,GB,NA,NA,NA,NA,51.09669,-1.65964
UK-53,Bredon Hill,NA,Bredon,Worcestershire,United Kingdom,GB,NA,NA,NA,NA,52.03008,-2.11671
UK-54,Creux-es-Faies,NA,Saint-Peter-in-the-Wood,Guernsey,United Kingdom,GB,NA,NA,NA,NA,49.44556,-2.64361
UK-55,Le Trépied,NA,Saint-Saviour,Guernsey,United Kingdom,GB,NA,NA,NA,NA,49.44972,-2.62389
UK-56,Les Fouaillages,NA,Vale,Guernsey,United Kingdom,GB,NA,NA,NA,NA,49.49361,-2.52833
UK-57,Platte Mare,NA,Vale,Guernsey,United Kingdom,GB,NA,NA,NA,NA,49.49361,-2.52833
