rowname,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39
FR_02_2_1,-0.09024134885092248,-0.13272258743203846,-0.005742179852423168,-0.08875031988336296,-0.00711291945300071,0.0226762051954786,-0.009098572708660836,0.0022550905436600445,0.022361587701291184,-0.038540314673817314,-8.816169434944435e-4,0.0011912262343635955,-0.009264694577876422,-0.02436745422786645,0.001880152860976795,-0.005699715544134917,-0.01485873403944926,-0.0041144755896825504,-0.006027466044518852,-0.0038304485376104537,-0.008821011858392182,0.0018673057213236545,0.007324973258314564,8.666339807109787e-4,-8.187711473713647e-4,0.012663719145899716,0.0012256952129778807,-0.0017244654322107038,-0.004214788296678877,0.0011999658603687958,-6.174377098085894e-4,-0.00433531852530671,-0.0010324832746215137,3.0143789711799593e-4,0.00489804667659198,0.002748730723550931,0.003787245765342052,-0.002632276987692755,0.0016289071592997593
FR_02_2_2,0.010022902847513084,-0.10172595690286154,0.05531105113148035,-0.09715514482769454,0.007353041822574708,0.022159829269884763,-0.007160405361388665,-0.007466575911429787,0.008873106945718474,-0.0053549359664979215,0.005111410302174535,-0.007749624501305412,-0.005824151349113512,-0.004946323325244485,0.004348864753193134,-0.007467741456690914,-0.0013690882068502382,0.012242607970958141,-0.006362856472381589,-0.006709264591141008,0.0033750082212495747,5.326369363005667e-4,0.0038636760987246326,0.0035195539236496255,-0.00210716930101893,-0.004180871666209864,0.004350867104439077,-1.865279216373622e-4,0.0019721455650996583,-2.4689130472712255e-5,-4.3161727877643306e-4,-8.423608565268398e-4,4.191197865156471e-4,-0.002604047915056719,-0.001778135287453902,-0.001303350669136773,-0.001668996686730231,-0.00145597704634366,-0.0017640026195058502
FR_02_2_3,0.1356537504106581,-0.09019231837964886,0.03826937812692998,-0.0453307498148661,0.010047065397280338,-0.024373692064533225,-0.011411215021658152,-0.013844009737338897,-0.007722430930278956,0.01931470457104392,-0.008785538118131903,5.64636934998116e-4,0.0029473780378798512,-0.00322113616227594,0.0037425546928836445,-0.010298920605700819,0.0021466232377694537,0.0077334885040155656,-0.006309927134777593,-0.006844637345444447,-0.00361643309144794,-0.0012860098646787252,0.003132511081602734,-0.0056187590691833544,0.01289860651158314,0.003178278722452755,0.00569526897613007,-0.0022887024908640283,0.0026498266041945465,-0.004989819530463385,-0.002970203485750906,-0.002124820696758745,-0.0025397526744286945,-0.003747652544967897,-5.152834414645049e-4,-0.0010329874000758498,-3.3748295597673105e-5,-4.888099426477629e-4,-2.816852748170089e-4
FR_02_2_4,0.07944493571539807,0.010529974751136801,0.0206581978353109,-0.06416740029451927,0.02355628674236167,0.020293575159797805,-0.02490954485470251,-0.039309345613668716,0.013668679953232113,-0.007751221585002627,0.002410485224102485,-0.015464263298230738,-0.0027949805161136044,-0.0022354057249596338,0.013324933464061,8.726819872864187e-4,-0.00493577293176805,0.0044845293320279495,-0.008703390104013867,-0.0011430896335354011,0.0016578839055835502,-0.003481638025821535,0.0038386267946233944,-0.004306813785454858,-0.006171587627705856,-0.0060570591721669995,-2.033922867832181e-4,-0.0035499079164701543,0.002709913877699626,-0.0023842802432112557,-0.004134637829081753,0.0037837376048257044,0.001181237646269002,0.002395839528526412,-0.003031668878705985,1.4963336963391802e-4,0.0035984311280596723,-0.0020180769720511724,-0.004321538402799254
FR_02_2_5,0.09489425352500568,-0.06387071516764299,0.00611943619692984,-0.0583432415953893,0.017508177183729753,0.0731561003270708,-0.008138596747463488,-0.03622675918227283,-0.0063788834639285415,-0.0061029718291498915,-0.0012588119157277552,0.0028036837819638365,0.007888036032457602,0.002593068868638533,0.0051848697552561215,-0.008925992191655031,-0.00783510997462333,-3.858620488032467e-4,-0.005801242467679587,-0.0014001888750765042,-7.233356499687549e-4,0.003790960033994207,0.003659767130836867,-0.004472932236479989,-0.004400111129297324,-0.004576295477626195,-4.5351706742274774e-4,0.006725679691151379,-0.0011556769810330924,-0.0037608136604153925,-0.0023928602085281276,-0.0064143883939198525,0.0027768085515465545,-0.0017034416408163488,-0.0026238097341961973,-7.131982935573594e-4,0.0037306818916182085,2.057944938415213e-4,-0.0017575037720984617
FR_02_2_6,0.0473482413925995,-0.08059594287670072,0.042935199147649226,-0.08368401636895091,0.01079302351860313,0.02079074740607816,-0.004670744505228656,-0.0033188307660190408,-0.004403979167264797,-0.0037417056956231894,0.0014387816224470476,-0.004399190097948607,-7.357730713976402e-5,0.0015054556813162143,0.00724689058137096,-0.002714854706844526,0.006685788333140327,0.01461036096883887,-0.005112560465762165,0.0020179188175823318,0.004180069054806719,-0.003456578201765547,0.00311365123931728,-0.010699547850776977,-0.0036646909552279124,-0.0035522071230119096,6.978396166376231e-4,0.0019722003606028092,-7.198238179455966e-4,-0.0035423350372022896,-0.0011780609051927704,-0.0034366027822412266,9.535280519971674e-4,-0.0018230786330659843,-0.0025658437208985825,-0.0033866060103478006,3.7415191548862656e-4,-0.00316880936555727,0.002185916300108514
FR_02_1,0.02751947804126871,-0.060595062429542546,0.039365404617474474,-0.07807985193415105,0.018297169375873664,-0.010003438407761365,0.02510769109804769,-0.002884833496277335,0.010740668935141334,0.0037499656448531865,-0.014536953867511677,-0.005765654426355012,-0.006687746534224955,0.003733558352093425,-6.725769433045479e-4,-0.0030054192066151925,-0.004164991118465462,0.006155998691844365,-0.0021174923306591297,-0.0024423622272099045,0.0065939802232493445,0.003937779012927318,-0.003798068015544432,-0.0043318079232531875,-0.003135633442923107,0.0015877112953915984,-0.004939359858940713,-0.0026632818716017807,3.0344992964620725e-4,4.4944184778894936e-4,9.907624588075892e-4,0.0030034864779765066,0.002329012223082606,-0.0018149181310008625,0.0014559391409211637,-0.004055207166606056,-4.9724212160849815e-5,-0.0018177762496854116,2.9978007525459236e-4
FR_02_10,0.09815260988504126,0.008095076207043153,0.020239920691461476,-0.06491905768687957,0.014121619988084581,0.004676643152392881,-0.02115821606887649,-0.008903435825773026,0.010198190902405983,-0.004834009124425775,0.004535594188873489,-0.008475894347841994,0.003784060415839733,0.00923014137137489,0.011668205539924115,0.006990220293223729,-0.003367585658704979,-0.003034863946795563,-0.0028817721242259085,-0.0026645821646605343,0.006336964930432409,-0.0015705795330314203,-0.00387316077780993,-0.0024857394450253922,5.5817766431827e-4,-0.007185013069038587,-0.001170267057583552,0.003075339513587615,0.0021525035419423,0.004886542112139045,-0.002558015554419323,-0.0012653748248210447,-9.035780221453658e-4,-4.256545754601491e-4,1.4311200508134825e-4,4.30101155860678e-5,0.001123970418102356,0.0026368028267820427,0.002316196632579434
FR_02_11,-0.04530542709173655,-0.04556472920228697,0.0019795553770343235,-0.07545214213656834,0.027023240940285548,-0.01323662356066095,0.011130438567128111,0.0031726030159093953,0.028253858951741623,-0.021537922206946156,0.01364862730537065,-0.0021815966422153274,-0.015466059201431223,2.5351174898084885e-4,-0.003064153768361603,0.003654828602286099,0.002496010509086884,-0.0070723367887818404,-0.002477939954184065,-0.00423870190287862,0.0056178243701679184,8.735559726891879e-4,0.005253492267092527,-0.001473988663578347,-0.007792585787680513,0.005038370630025341,0.002843302211508094,0.001028763464138484,-2.923989708360171e-4,0.0021976880357223675,-0.0029074625167829007,0.002768999079301957,3.977035256206979e-4,-9.870811847644463e-5,0.001582776743286351,-0.00821537333283269,0.002328944598342871,0.003440370414548858,0.004694926343277326
FR_02_2,-0.03251172443488533,-0.034779142363624,-0.007791893106913185,-0.0767722917951381,-0.012626106651288493,-0.027924668122258217,0.016687430556182395,0.01159747166976117,0.01577528942028383,-0.0093433899197718,0.00787096601392812,-0.0040209038253343965,-0.01446516883631263,-0.0075726132532092615,-0.005734647545094981,0.0048215571496509025,0.005169993540267479,-0.001205597714428372,-0.0045529482195040185,0.007176300499602444,-0.001592415868256803,-8.776407081137758e-4,0.0011423807466033559,2.638451852869117e-4,-0.0037761398768397293,-0.0028247655750862207,0.0035699822712695704,-0.007440979193497291,-0.0017673615037687017,4.22904380331669e-4,-6.578353833941551e-4,-6.992499272087879e-4,0.0014355499498983344,-9.044405695753908e-4,-0.0030654591311867403,0.001012734842823935,0.001716982410584857,0.0016963686359932147,-3.782363076899634e-4
